,Speaker,Utterance,Unified
5,M,They're both very pretty.,M|They're both very pretty.
100,A,"Oh yeah, yeah, we do, we call that doing biscuits,","A|Oh yeah, yeah, we do, we call that doing biscuits,"
101,M,C,M|C
102,A,"it looks like their kneading bread *spelling ""their"" should be ""they're""","A|it looks like their kneading bread *spelling ""their"" should be ""they're"""
103,M,"Oh yea, yes","M|Oh yea, yes"
104,A,"Oh, I just love cats. I like dogs, they're okay, I had, I had a dog when I lived at home","A|Oh, I just love cats. I like dogs, they're okay, I had, I had a dog when I lived at home"
105,M,You've got to be kitten me.,M|You've got to be kitten me.
106,A,but they're a lot more trouble than cats actually.,A|but they're a lot more trouble than cats actually.
107,M,You're a little late on the cat hate train.,M|You're a little late on the cat hate train.
108,A,"Oh yeah, they do.","A|Oh yeah, they do."
109,M,Do they?,M|Do they?
110,A,"Oh they are. I love it, it's so funny to get more than one cat together, because it brings out their personalities.","A|Oh they are. I love it, it's so funny to get more than one cat together, because it brings out their personalities."
111,M,I love the idea of a cat fighting a dog.,M|I love the idea of a cat fighting a dog.
112,A,And they just act so funny.,A|And they just act so funny.
113,M,Because of the cats,M|Because of the cats
114,A,Really.,A|Really.
115,M,"We have a cat, I think we have a brother.","M|We have a cat, I think we have a brother."
116,A,Uh-huh.,A|Uh-huh.
117,M,"Uhhh, I'm sorry?","M|Uhhh, I'm sorry?"
118,A,A train of cats running around.,A|A train of cats running around.
119,M,The train of kittens.,M|The train of kittens.
120,A,"Oh how funny, I can imagine. Yeah, I wouldn't give anything for my cats. I love them to death.","A|Oh how funny, I can imagine. Yeah, I wouldn't give anything for my cats. I love them to death."
121,M,"Not sure if it's a joke, but my cats are just like that. They're very affectionate and sweet.","M|Not sure if it's a joke, but my cats are just like that. They're very affectionate and sweet."
122,A,What are your cats' names.,A|What are your cats' names.
123,M,The best part is that my cats'names are the same.,M|The best part is that my cats'names are the same.
124,A,"Oh, how sweet.","A|Oh, how sweet."
125,M,That's just what my cats like to do.,M|That's just what my cats like to do.
126,A,"I have Xanadu and Precious, and Rascal.","A|I have Xanadu and Precious, and Rascal."
127,M,What are you using?,M|What are you using?
128,A,"Precious and Rascal are brother and sister and they don't look a thing a like. Nothing. Precious is a medium hair yellow cat,","A|Precious and Rascal are brother and sister and they don't look a thing a like. Nothing. Precious is a medium hair yellow cat,"
129,M,What are the names of the colors?,M|What are the names of the colors?
130,A,and Rascal is a black and white short hair.,A|and Rascal is a black and white short hair.
131,M,"Yes, I think that's what I said.","M|Yes, I think that's what I said."
132,A,"They don't look a thing a like,","A|They don't look a thing a like,"
133,M,They look like a.,M|They look like a.
134,A,and they came from the same litter and everything.,A|and they came from the same litter and everything.
135,M,The same person?,M|The same person?
136,A,Oh.,A|Oh.
137,M,That's a tortoise.,M|That's a tortoise.
138,A,"So ugly she's cute, right.","A|So ugly she's cute, right."
139,M,You can't tell me what to do.,M|You can't tell me what to do.
140,A,Really.,A|Really.
141,M,"I know she's not in a relationship, but I don't care.","M|I know she's not in a relationship, but I don't care."
142,A,Oh.,A|Oh.
143,M,She's beautiful.,M|She's beautiful.
144,A,Is she the oldest one?,A|Is she the oldest one?
145,M,"I know you are, but what am I?","M|I know you are, but what am I?"
146,A,Really.,A|Really.
147,M,Yes she is.,M|Yes she is.
148,A,Oh I know it's like the end of the world.,A|Oh I know it's like the end of the world.
149,M,"I know it is, but I don't want to be mean.","M|I know it is, but I don't want to be mean."
150,A,I know that's how I am about Xanadu.,A|I know that's how I am about Xanadu.
151,M,The beginning of the end,M|The beginning of the end
152,A,Oh definitely.,A|Oh definitely.
153,M,You guys get so cute together.You're the best,M|You guys get so cute together.You're the best
154,A,Yeah.,A|Yeah.
155,M,Your mother has cats?,M|Your mother has cats?
156,A,You can walk a dog and that's okay for weekend but cats are good all the time.,A|You can walk a dog and that's okay for weekend but cats are good all the time.
157,M,"I love dogs, but I hate dogs.","M|I love dogs, but I hate dogs."
158,A,"It wouldn't have, no that would be a problem","A|It wouldn't have, no that would be a problem"
159,M,Wouldn't that be a bit of a problem for a dog?,M|Wouldn't that be a bit of a problem for a dog?
160,A,"Have you seen those, uh, do you ever read COSMO.","A|Have you seen those, uh, do you ever read COSMO."
161,M,"I can't even get a dog to walk a cat, I'm not even a cat owner.","M|I can't even get a dog to walk a cat, I'm not even a cat owner."
162,A,"There was cartoon in COSMO about a year or two ago and it had this man sitting on a couch with his date and there were cats hanging all over him. Hanging on his clothes, you know, they had ripped him up and the couch was ripped up and down at the bottom he said, of course I love cats. And they were just all over him and sitting on his head, the whole nine yards. It was so funny.","A|There was cartoon in COSMO about a year or two ago and it had this man sitting on a couch with his date and there were cats hanging all over him. Hanging on his clothes, you know, they had ripped him up and the couch was ripped up and down at the bottom he said, of course I love cats. And they were just all over him and sitting on his head, the whole nine yards. It was so funny."
163,M,h,M|h
164,A,Watch me.,A|Watch me.
165,M,"That, of, of!","M|That, of, of!"
166,A,Definitely.,A|Definitely.
167,M,I',M|I'
168,A,Oh I wouldn't either. There'd be no way.,A|Oh I wouldn't either. There'd be no way.
169,M,Well I wouldn t mind if they left the cat alone.,M|Well I wouldn t mind if they left the cat alone.
170,A,"Oh really, oh well.","A|Oh really, oh well."
171,M,They said they would do it.,M|They said they would do it.
172,A,"That's life, that's how life goes.","A|That's life, that's how life goes."
173,M,Oh my god.,M|Oh my god.
174,A,"I know, I love mine too. Well, it's been nice talking to you.","A|I know, I love mine too. Well, it's been nice talking to you."
175,M,"Ah, I love you too.","M|Ah, I love you too."
176,A,"Me to. Bye, bye.","A|Me to. Bye, bye."
177,M,You have a nice day.,M|You have a nice day.
