,Speaker,Utterance,Unified
5,M,"Well, I am","M|Well, I am"
42,A,and no two of them are alike And,A|and no two of them are alike And
43,M,I don'ts?,M|I don'ts?
44,A,"so it's like completely opposed. I don't know, which do I like better, I think I like the Porsche's philosophy a little bit better, although it's not really practical.","A|so it's like completely opposed. I don't know, which do I like better, I think I like the Porsche's philosophy a little bit better, although it's not really practical."
45,M,They're both just the same,M|They're both just the same
46,A,"Unless, it's, it's a toy.","A|Unless, it's, it's a toy."
47,M,That's a lot of money for a toy car.,M|That's a lot of money for a toy car.
48,A,"Let's face it. Yeah, yeah, but it, it, B M W good for that. What kind of driving just like commuting you'd want to do it, use it for?","A|Let's face it. Yeah, yeah, but it, it, B M W good for that. What kind of driving just like commuting you'd want to do it, use it for?"
49,M,I love the idea of a car with a car.,M|I love the idea of a car with a car.
50,A,"Wow, yeah.","A|Wow, yeah."
51,M,"You mean, like, you're driving a car?","M|You mean, like, you're driving a car?"
52,A,That's cool.,A|That's cool.
53,M,"It's a pretty big car, but it's not that much of a difference.","M|It's a pretty big car, but it's not that much of a difference."
54,A,"Yeah, that's good. I also, I was impressed by, uh, by the Mercedes, too.","A|Yeah, that's good. I also, I was impressed by, uh, by the Mercedes, too."
55,M,I was. impressed by the Ferrari,M|I was. impressed by the Ferrari
56,A,"I really, I really like the Mercedes.","A|I really, I really like the Mercedes."
57,M,That's what I like about them.They have a nice shape and all.,M|That's what I like about them.They have a nice shape and all.
58,A,"The factory was nice and, And is it different for the, for the B M W?","A|The factory was nice and, And is it different for the, for the B M W?"
59,M,"I am a big fan of the Mercedes, but I think they're a little too.","M|I am a big fan of the Mercedes, but I think they're a little too."
60,A,"Probably. Right, I can imagine that.","A|Probably. Right, I can imagine that."
61,M,"I mean, I can't","M|I mean, I can't"
