,Speaker,Utterance,Unified
5,M,"uh, uh","M|uh, uh"
36,A,"It's an accusation, and, and it's and it's based on, on a perception that someone has as how a drug user would behave when some drug users behave, uh, normal, uh, you know.","A|It's an accusation, and, and it's and it's based on, on a perception that someone has as how a drug user would behave when some drug users behave, uh, normal, uh, you know."
37,M,what does that even mean?,M|what does that even mean?
38,A,"Right, exactly. I, I don't, the, I think almost the only way that drug testing can be done fairly is if it's across the board from, from the janitors to the executive management.","A|Right, exactly. I, I don't, the, I think almost the only way that drug testing can be done fairly is if it's across the board from, from the janitors to the executive management."
39,M,"That,","M|That,"
40,A,What type of job do you have?,A|What type of job do you have?
41,M,It.,M|It.
42,A,Uh-huh.,A|Uh-huh.
43,M,That's the job.,M|That's the job.
44,A,"Well, does your does your job require you to drive company equipment or to operate any type of machinery that might endanger someone?","A|Well, does your does your job require you to drive company equipment or to operate any type of machinery that might endanger someone?"
45,M,I have never had to work in a job that required me to be drug tested.,M|I have never had to work in a job that required me to be drug tested.
46,A,"Well, that doesn't, I mean I ...","A|Well, that doesn't, I mean I ..."
47,M,I've been told to not drive a car for several years now.,M|I've been told to not drive a car for several years now.
48,A,Uh-huh.,A|Uh-huh.
49,M,Why is it illegal?,M|Why is it illegal?
50,A,"That is odd. I was drug tested, uh, not for the job I have now, but for the prior job, uh, but I know that they sent, that the job I had before, that, well, the job I have, have now, requested my, uh, uh, my, uh, medical record from my old company","A|That is odd. I was drug tested, uh, not for the job I have now, but for the prior job, uh, but I know that they sent, that the job I had before, that, well, the job I have, have now, requested my, uh, uh, my, uh, medical record from my old company"
51,M,What are you on about?,M|What are you on about?
52,A,"so I don't know if I wasn't drug tested based on that or because the man who hired me didn't request the drug test, because I know that my company does drug testing on occasion.","A|so I don't know if I wasn't drug tested based on that or because the man who hired me didn't request the drug test, because I know that my company does drug testing on occasion."
53,M,,M|
54,A,"Well, no, I don't think they can, they can force another company to not drug test me just by saying that I, I didn't, I mean,","A|Well, no, I don't think they can, they can force another company to not drug test me just by saying that I, I didn't, I mean,"
55,M,Yes??,M|Yes??
56,A,they don't know that I don't use drugs. They just tested me once.,A|they don't know that I don't use drugs. They just tested me once.
57,M,Drug tested.,M|Drug tested.
58,A,"But, I used to work for a power company, so it was very important that they make sure their employees, especially linemen uh, were clean.","A|But, I used to work for a power company, so it was very important that they make sure their employees, especially linemen uh, were clean."
59,M,"I think they would have to give you a test, no?","M|I think they would have to give you a test, no?"
60,A,"And since I was just, you know, one of the office folk, I guess it wasn't as important to them that they test me regularly. But I know they test most of the service people fairly regularly uh, just across the board.","A|And since I was just, you know, one of the office folk, I guess it wasn't as important to them that they test me regularly. But I know they test most of the service people fairly regularly uh, just across the board."
61,M,Uhhhuh. Uh,M|Uhhhuh. Uh
62,A,"No, they're, all of them are tested once every three","A|No, they're, all of them are tested once every three"
63,M,Are they all tested?,M|Are they all tested?
64,A,it's a rotation.,A|it's a rotation.
65,M,It's a test.,M|It's a test.
66,A,"But it, but again, it depends on what job you're in.","A|But it, but again, it depends on what job you're in."
67,M,"It's not, it's a good job.","M|It's not, it's a good job."
68,A,"The men that are out there fixing power lines are tested a lot and the men that drive the trucks with, with the guys that fix the power lines aren't tested as much.","A|The men that are out there fixing power lines are tested a lot and the men that drive the trucks with, with the guys that fix the power lines aren't tested as much."
69,M,They're testing the men.,M|They're testing the men.
70,A,"But, but see, they make that clear to them as they hire those guys what, what the drug testing schedule is.","A|But, but see, they make that clear to them as they hire those guys what, what the drug testing schedule is."
71,M,And that's why I'm surprised they're hiring them.,M|And that's why I'm surprised they're hiring them.
72,A,"They say we, we're testing you tomorrow and we'll test you every three months thereafter while you work here.","A|They say we, we're testing you tomorrow and we'll test you every three months thereafter while you work here."
73,M,I know.,M|I know.
74,A,"Yeah, it's, it's made very clear upon hiring.","A|Yeah, it's, it's made very clear upon hiring."
75,M,Is that how they are?,M|Is that how they are?
76,A,"Well, have we spent our at least five minutes?","A|Well, have we spent our at least five minutes?"
77,M,Oh? You've seen anything?,M|Oh? You've seen anything?
78,A,Okay.,A|Okay.
79,M,"Yes, it's not a problem.","M|Yes, it's not a problem."
80,A,Okay.,A|Okay.
81,M,"No, I think it was six or seven.","M|No, I think it was six or seven."
82,A,Nice talking to you. Bye-bye,A|Nice talking to you. Bye-bye
83,M,You know what? I'm going to stop.,M|You know what? I'm going to stop.
