,Speaker,Utterance,Unified
55,g,'til you're about an inch above the path that you took to the footbridge is that right,g|'til you're about an inch above the path that you took to the footbridge is that right
56,M,"I'm sorry i'm sorry, i'm not sorry, sorry, I'm sorry","M|I'm sorry i'm sorry, i'm not sorry, sorry, I'm sorry"
57,g,right and go due west as in to your left,g|right and go due west as in to your left
58,M,i'm in the east,M|i'm in the east
59,g,to the edge of the page,g|to the edge of the page
60,M,I have no idea what you're talking about,M|I have no idea what you're talking about
61,g,do you have the white mountain,g|do you have the white mountain
62,M,i have the black mountain,M|i have the black mountain
63,g,right go right up to the top of the page,g|right go right up to the top of the page
64,M,i did,M|i did
65,g,yeah ehm do you have the pyramid,g|yeah ehm do you have the pyramid
66,M,yes i have the red one,M|yes i have the red one
67,g,come right to the page come right along and just go round the pyramid go round it and then under it so and then stop just at the just after you've been under the pyramid,g|come right to the page come right along and just go round the pyramid go round it and then under it so and then stop just at the just after you've been under the pyramid
68,M,i don't know how to do it,M|i don't know how to do it
69,g,right do you have the cobbled street,g|right do you have the cobbled street
70,M,i am not a smart man i just have the order down,M|i am not a smart man i just have the order down
71,g,do you have the remote village,g|do you have the remote village
72,M,right I just got the map,M|right I just got the map
73,g,the remote village is about,g|the remote village is about
74,M,the village,M|the village
75,g,are you just you should have gone just right under the pyramid should,g|are you just you should have gone just right under the pyramid should
76,M,"it's not a pyramid, it's a triangle","M|it's not a pyramid, it's a triangle"
77,g,right exactly right come across a tad 'til you are roughly a centimetre from the white mountain if you take a line up but not you know so that your line is the same direction that you took the line under the pyramid,g|right exactly right come across a tad 'til you are roughly a centimetre from the white mountain if you take a line up but not you know so that your line is the same direction that you took the line under the pyramid
78,M,i'm a bit far away but i'll try and see what i can do,M|i'm a bit far away but i'll try and see what i can do
79,g,just take it a wee bit further across so that you'll clear the remote village,g|just take it a wee bit further across so that you'll clear the remote village
80,M,what is the right way to do this?,M|what is the right way to do this?
81,g,right,g|right
82,M,right right,M|right right
83,g,you're actually above it,g|you're actually above it
84,M,you can't see it because you're not on the map,M|you can't see it because you're not on the map
85,g,if you if you take a line due south you're going to hit it all i want you to do is clear the remote village,g|if you if you take a line due south you're going to hit it all i want you to do is clear the remote village
86,M,i want to take a road,M|i want to take a road
87,g,yes you are just you are just below the pyramid,g|yes you are just you are just below the pyramid
88,M,but you are not in the remote Village,M|but you are not in the remote Village
89,g,you've come out about a centimetre from,g|you've come out about a centimetre from
90,M,"well, I am you","M|well, I am you"
91,g,are you,g|are you
92,M,I am,M|I am
93,g,why,g|why
94,M,I don't know,M|I don't know
95,g,yeah you're under the pyramid okay right,g|yeah you're under the pyramid okay right
96,M,i am,M|i am
97,g,but you haven't gone far enough across so that you're so that if you came south you'd hit the white mountain,g|but you haven't gone far enough across so that you're so that if you came south you'd hit the white mountain
98,M,i go to the pyramid and then south,M|i go to the pyramid and then south
99,g,well that's wrong then,g|well that's wrong then
100,M,i've come across plenty of people who have gone far too,M|i've come across plenty of people who have gone far too
101,g,go go back so that you'll just miss the remote village if you come south,g|go go back so that you'll just miss the remote village if you come south
102,M,yeah i know. but im just saying that i have come to the right place.,M|yeah i know. but im just saying that i have come to the right place.
103,g,right ah so come down,g|right ah so come down
104,M,oh my god that's amazing,M|oh my god that's amazing
105,g,come down just past the remote village,g|come down just past the remote village
106,M,oh okay.,M|oh okay.
107,g,and go to your right,g|and go to your right
108,M,come to the village,M|come to the village
109,g,"just past the remote village and mark ""x"" 'cause that's us finished a complete trial","g|just past the remote village and mark ""x"" 'cause that's us finished a complete trial"
110,M,how close to the edge of the village?,M|how close to the edge of the village?
