,response,context,context/0,context/1,context/2,context/3
42,So the engine kicks on when the batteries need power and it turns off.,Uh-huh.,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it.",Uh-huh.,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered",Yeah. Huh.
43,Uh-huh.,So the engine kicks on when the batteries need power and it turns off.,Uh-huh.,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it.",Uh-huh.,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered"
44,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy",Uh-huh.,So the engine kicks on when the batteries need power and it turns off.,Uh-huh.,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it.",Uh-huh.
45,Huh That is good.,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy",Uh-huh.,So the engine kicks on when the batteries need power and it turns off.,Uh-huh.,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it."
46,Unlike a car where it's running.,Huh That is good.,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy",Uh-huh.,So the engine kicks on when the batteries need power and it turns off.,Uh-huh.
47,Yeah.,Unlike a car where it's running.,Huh That is good.,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy",Uh-huh.,So the engine kicks on when the batteries need power and it turns off.
48,A electric car it's on demand. I mean it's either on or off.,Yeah.,Unlike a car where it's running.,Huh That is good.,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy",Uh-huh.
49,Yeah.,A electric car it's on demand. I mean it's either on or off.,Yeah.,Unlike a car where it's running.,Huh That is good.,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy"
50,Basically.,Yeah.,A electric car it's on demand. I mean it's either on or off.,Yeah.,Unlike a car where it's running.,Huh That is good.
51,Huh.,Basically.,Yeah.,A electric car it's on demand. I mean it's either on or off.,Yeah.,Unlike a car where it's running.
52,"You don't have to shift So you, cars become very simple all  of a sudden too.",Huh.,Basically.,Yeah.,A electric car it's on demand. I mean it's either on or off.,Yeah.
53,Oh.,"You don't have to shift So you, cars become very simple all  of a sudden too.",Huh.,Basically.,Yeah.,A electric car it's on demand. I mean it's either on or off.
54,Very interesting.,Oh.,"You don't have to shift So you, cars become very simple all  of a sudden too.",Huh.,Basically.,Yeah.
55,"That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that.",Very interesting.,Oh.,"You don't have to shift So you, cars become very simple all  of a sudden too.",Huh.,Basically.
56,"Yeah. There's, there's a race in Australia with solar powered cars.","That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that.",Very interesting.,Oh.,"You don't have to shift So you, cars become very simple all  of a sudden too.",Huh.
57,Huh.,"Yeah. There's, there's a race in Australia with solar powered cars.","That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that.",Very interesting.,Oh.,"You don't have to shift So you, cars become very simple all  of a sudden too."
58,And Ford and General Motors and all those compete.,Huh.,"Yeah. There's, there's a race in Australia with solar powered cars.","That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that.",Very interesting.,Oh.
59,"But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like",And Ford and General Motors and all those compete.,Huh.,"Yeah. There's, there's a race in Australia with solar powered cars.","That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that.",Very interesting.
60,Right. Yeah,"But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like",And Ford and General Motors and all those compete.,Huh.,"Yeah. There's, there's a race in Australia with solar powered cars.","That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that."
61,I don't know. Huh. * See note above,Right. Yeah,"But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like",And Ford and General Motors and all those compete.,Huh.,"Yeah. There's, there's a race in Australia with solar powered cars."
62,"G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now.",I don't know. Huh. * See note above,Right. Yeah,"But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like",And Ford and General Motors and all those compete.,Huh.
63,"Yeah, and they're, they're very expensive too. .","G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now.",I don't know. Huh. * See note above,Right. Yeah,"But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like",And Ford and General Motors and all those compete.
64,"To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them.","Yeah, and they're, they're very expensive too. .","G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now.",I don't know. Huh. * See note above,Right. Yeah,"But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like"
65,"Well, yeah. Yeah.","To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them.","Yeah, and they're, they're very expensive too. .","G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now.",I don't know. Huh. * See note above,Right. Yeah
66,Kind of interesting so see.,"Well, yeah. Yeah.","To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them.","Yeah, and they're, they're very expensive too. .","G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now.",I don't know. Huh. * See note above
67,"Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile.",Kind of interesting so see.,"Well, yeah. Yeah.","To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them.","Yeah, and they're, they're very expensive too. .","G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now."
68,"Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle.","Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile.",Kind of interesting so see.,"Well, yeah. Yeah.","To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them.","Yeah, and they're, they're very expensive too. ."
69,"Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown","Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle.","Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile.",Kind of interesting so see.,"Well, yeah. Yeah.","To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them."
70,Uh-huh,"Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown","Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle.","Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile.",Kind of interesting so see.,"Well, yeah. Yeah."
71,"and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?",Uh-huh,"Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown","Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle.","Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile.",Kind of interesting so see.
72,"Oh, I wasn't there too long ago. Uh.","and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?",Uh-huh,"Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown","Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle.","Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile."
73,Cause I haven't been there probably ...,"Oh, I wasn't there too long ago. Uh.","and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?",Uh-huh,"Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown","Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle."
74,"Well, you know, going over the hills, you know, coming into the valley?",Cause I haven't been there probably ...,"Oh, I wasn't there too long ago. Uh.","and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?",Uh-huh,"Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown"
75,Yeah.,"Well, you know, going over the hills, you know, coming into the valley?",Cause I haven't been there probably ...,"Oh, I wasn't there too long ago. Uh.","and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?",Uh-huh
76,"You can see that horrible, horrible brown haze.",Yeah.,"Well, you know, going over the hills, you know, coming into the valley?",Cause I haven't been there probably ...,"Oh, I wasn't there too long ago. Uh.","and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?"
77,"Well, we were there when they had a","You can see that horrible, horrible brown haze.",Yeah.,"Well, you know, going over the hills, you know, coming into the valley?",Cause I haven't been there probably ...,"Oh, I wasn't there too long ago. Uh."
