Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	2	right under	76	1	1	g	75,76	[[75, 76]]
52	15	1	right	3	108	1	f	2,3,10,13,14,18,19,21,22,24,27,28,30,33,38,39,40,42,46,48,49,50,51,52,53,54,55,57,58,60,63,64,67,68,69,75,76,77,80,81,82,86,88,90,95,96,100,102,103,106,107,110	[[2, 3], [10, 13, 14], [13, 14, 18], [14, 18, 19], [18, 19, 21, 22], [19, 21, 22, 24], [21, 22, 24], [22, 24, 27], [24, 27, 28], [27, 28, 30], [28, 30, 33], [30, 33], [33, 38], [38, 39, 40, 42], [39, 40, 42], [40, 42], [42, 46], [46, 48, 49, 50, 51], [48, 49, 50, 51, 52, 53], [49, 50, 51, 52, 53, 54], [50, 51, 52, 53, 54, 55], [51, 52, 53, 54, 55], [52, 53, 54, 55, 57], [53, 54, 55, 57, 58], [54, 55, 57, 58], [55, 57, 58, 60], [57, 58, 60], [58, 60, 63], [60, 63, 64], [63, 64, 67, 68], [64, 67, 68, 69], [67, 68, 69], [68, 69], [75, 76, 77, 80], [76, 77, 80, 81], [77, 80, 81, 82], [80, 81, 82], [81, 82, 86], [82, 86], [86, 88, 90], [88, 90], [90, 95], [95, 96, 100], [96, 100], [100, 102, 103], [102, 103, 106, 107], [103, 106, 107], [106, 107, 110]]
52	29	1	the	12	108	5	g	1,3,5,7,11,12,13,15,16,21,23,25,27,28,29,31,32,33,35,36,37,39,41,44,45,48,49,51,55,59,61,63,64,65,67,69,71,73,75,77,79,82,85,86,87,90,94,95,97,101,105,109	[[1, 3, 5], [3, 5, 7], [5, 7], [7, 11, 12], [11, 12, 13, 15, 16], [12, 13, 15, 16], [13, 15, 16], [15, 16], [16, 21], [21, 23, 25], [23, 25, 27, 28], [25, 27, 28, 29], [27, 28, 29, 31, 32], [28, 29, 31, 32, 33], [29, 31, 32, 33], [31, 32, 33, 35, 36], [32, 33, 35, 36, 37], [33, 35, 36, 37], [35, 36, 37, 39], [36, 37, 39, 41], [37, 39, 41], [39, 41, 44], [41, 44, 45], [44, 45, 48, 49], [45, 48, 49], [48, 49, 51], [49, 51], [51, 55], [55, 59], [59, 61, 63, 64], [61, 63, 64, 65], [63, 64, 65, 67], [64, 65, 67, 69], [65, 67, 69], [67, 69, 71], [69, 71, 73], [71, 73, 75], [73, 75, 77], [75, 77, 79], [77, 79, 82], [79, 82], [82, 85, 86, 87], [85, 86, 87, 90], [86, 87, 90], [87, 90], [90, 94, 95], [94, 95, 97], [95, 97], [97, 101], [101, 105], [105, 109]]
29	21	1	you	28	77	1	f	25,27,28,31,33,35,37,39,43,45,47,49,51,53,55,61,65,68,69,71,75,77,85,87,91,94,97,101,102	[[25, 27, 28], [27, 28, 31], [28, 31, 33], [31, 33, 35], [33, 35, 37], [35, 37, 39], [37, 39], [39, 43], [43, 45, 47], [45, 47, 49], [47, 49, 51], [49, 51, 53], [51, 53, 55], [53, 55], [61, 65], [65, 68, 69], [68, 69, 71], [69, 71], [71, 75], [75, 77], [85, 87], [87, 91], [91, 94], [94, 97], [97, 101, 102]]
20	9	1	to	8	64	3	g	3,5,7,8,11,13,27,28,29,41,42,43,44,45,55,57,59,63,64,67	[[3, 5, 7, 8], [5, 7, 8], [7, 8, 11], [8, 11, 13], [11, 13], [27, 28, 29], [28, 29], [41, 42, 43, 44, 45], [42, 43, 44, 45], [43, 44, 45], [44, 45], [55, 57, 59], [57, 59], [59, 63, 64], [63, 64, 67]]
17	8	1	go	8	64	1	g	3,8,13,15,27,28,29,41,43,44,45,50,51,53,57,63,67	[[3, 8], [8, 13], [13, 15], [27, 28, 29], [28, 29], [41, 43, 44, 45], [43, 44, 45], [44, 45], [45, 50], [50, 51, 53], [51, 53], [53, 57], [63, 67]]
17	10	1	just	12	96	2	g	9,12,15,17,23,27,36,41,43,45,49,75,79,82,87,101,105	[[9, 12], [12, 15, 17], [15, 17], [23, 27], [36, 41], [41, 43, 45], [43, 45], [45, 49], [75, 79], [79, 82], [82, 87], [101, 105]]
12	5	1	do	28	46	2	f	25,28,35,37,44,47,48,53,61,65,69,71	[[25, 28], [35, 37], [44, 47, 48], [47, 48], [48, 53], [61, 65], [65, 69], [69, 71]]
11	6	1	it	3	84	1	f	2,3,41,43,45,49,76,79,83,85,86	[[2, 3], [41, 43, 45], [43, 45], [45, 49], [76, 79], [79, 83], [83, 85, 86]]
8	6	1	have	35	43	2	g	32,35,37,61,65,69,71,75	[[32, 35, 37], [35, 37], [61, 65], [65, 69], [69, 71], [71, 75]]
12	3	1	i	3	86	1	f	0,3,31,36,37,44,48,50,51,52,85,86	[[0, 3], [31, 36], [36, 37], [44, 48], [48, 50, 51, 52], [50, 51, 52], [51, 52], [85, 86]]
12	4	1	so	41	67	1	f	36,41,43,44,45,50,77,79,82,97,101,103	[[36, 41], [41, 43, 44, 45], [43, 44, 45], [44, 45], [45, 50], [77, 79, 82], [79, 82], [97, 101], [101, 103]]
10	7	1	of	44	56	8	g	7,11,13,15,27,29,44,45,59,63	[[7, 11], [11, 13, 15], [13, 15], [27, 29], [44, 45], [59, 63]]
6	3	1	come	94	16	6	g	89,94,98,101,103,105	[[89, 94], [94, 98], [98, 101, 103], [101, 103, 105]]
7	4	1	about	36	34	4	g	21,23,31,36,39,53,55	[[21, 23], [31, 36], [36, 39], [53, 55]]
8	1	1	left	4	48	1	g	3,4,42,43,44,45,50,51	[[3, 4], [42, 43, 44, 45], [43, 44, 45], [44, 45], [45, 50], [50, 51]]
5	3	1	ah	1	43	1	f	0,1,5,39,43	[[0, 1, 5], [1, 5], [39, 43]]
6	3	1	is	39	50	1	g	36,39,73,77,85,86	[[36, 39], [73, 77], [85, 86]]
6	1	1	okay	10	48	1	g	5,10,49,50,52,53	[[5, 10], [49, 50, 52, 53]]
4	1	1	then	50	10	4	g	41,43,50,51	[[41, 43], [50, 51]]
4	1	1	above	82	44	1	g	39,43,82,83	[[39, 43], [82, 83]]
2	0	1	yeah	34	5	3	g	29,34	[[29, 34]]
2	0	1	far	98	1	3	f	97,98	[[97, 98]]
3	0	1	inch	36	8	3	g	31,36,39	[[31, 36], [36, 39]]
4	2	1	across	98	21	4	g	77,79,97,98	[[77, 79], [97, 98]]
5	3	1	down	51	55	1	f	50,51,53,103,105	[[50, 51, 53], [51, 53], [103, 105]]
2	0	1	got	52	1	1	f	51,52	[[51, 52]]
2	0	1	inches	22	1	1	g	21,22	[[21, 22]]
4	2	1	now	41	11	1	f	36,41,45,47	[[36, 41], [41, 45], [45, 47]]
4	1	1	stop	48	34	2	g	15,17,48,49	[[15, 17], [48, 49]]
2	0	1	that's	110	1	1	f	109,110	[[109, 110]]
3	1	1	west	6	3	1	g	5,6,8	[[5, 6, 8]]
2	0	1	where	39	3	2	f	36,39	[[36, 39]]
2	0	1	below	87	1	1	g	86,87	[[86, 87]]
3	0	1	don't	32	6	1	g	31,32,37	[[31, 32], [32, 37]]
3	0	1	east	16	4	1	g	15,16,19	[[15, 16, 19]]
4	1	1	should	74	36	2	g	39,43,74,75	[[39, 43], [74, 75]]
2	0	1	well	4	1	1	g	3,4	[[3, 4]]
2	0	1	"""""x"""""	32	1	1	g	31,32	[[31, 32]]
2	0	1	after	49	1	1	f	48,49	[[48, 49]]
3	1	1	baboons	52	5	2	g	47,51,52	[[47, 51, 52]]
2	0	1	keep	51	1	1	g	50,51	[[50, 51]]
2	0	1	my	4	1	1	g	3,4	[[3, 4]]
2	0	1	all	85	5	1	f	80,85	[[80, 85]]
2	0	1	anyway	3	1	1	f	2,3	[[2, 3]]
2	0	1	over	16	1	1	g	15,16	[[15, 16]]
2	0	1	start	1	1	1	f	0,1	[[0, 1]]
2	0	1	ten	37	1	1	f	36,37	[[36, 37]]
