,Speaker,Utterance,Unified
41,M,You think this is the first time I've seen this?,M|You think this is the first time I've seen this?
42,A,Where are you?,A|Where are you?
43,M,You don't know that?,M|You don't know that?
44,A,"You're, uh, everybody I speak to is in Texas, oh, oh, yeah, but I'm, I'm in New York and, uh, we seem, we seem to have, um, I think the AMERICAN GLADIATORS is on Sunday afternoons actually around here as well, sometimes.","A|You're, uh, everybody I speak to is in Texas, oh, oh, yeah, but I'm, I'm in New York and, uh, we seem, we seem to have, um, I think the AMERICAN GLADIATORS is on Sunday afternoons actually around here as well, sometimes."
45,M,It's Sunday morning in New England.,M|It's Sunday morning in New England.
46,A,"I think it's been on, I think I've seen it during the day.","A|I think it's been on, I think I've seen it during the day."
47,M,"I've seen the news, but I've never seen it in the middle of the day.","M|I've seen the news, but I've never seen it in the middle of the day."
48,A,"Definitely seen it on, on, during the day down there , and I don't think it's a very violent show, I think it's funny. I think it's a real good concept, I think it's something completely new.","A|Definitely seen it on, on, during the day down there , and I don't think it's a very violent show, I think it's funny. I think it's a real good concept, I think it's something completely new."
49,M,Not ahem,M|Not ahem
50,A,"I think so, I think because people sort of get through, you know, um, I think that people sort of learn the importance of sort of physical fitness as well as the, as well as, you know, some mental fitness and I think that people sort of learn good sportsmanship and so forth.","A|I think so, I think because people sort of get through, you know, um, I think that people sort of learn the importance of sort of physical fitness as well as the, as well as, you know, some mental fitness and I think that people sort of learn good sportsmanship and so forth."
51,M,you,M|you
52,A,"Well, don't they take people who have some sort of, um, big abilities like and, and at least they used to when it, when it, the first ones I saw they had, um, a man on who was, uh, he played college football and almost went pro, and they had a, a woman who was a black belt in karate and she was the, uh, she was in the junior Olympics or something or they seem to have people who have very, very big sports backgrounds. To have they, leaned away from that sort of,","A|Well, don't they take people who have some sort of, um, big abilities like and, and at least they used to when it, when it, the first ones I saw they had, um, a man on who was, uh, he played college football and almost went pro, and they had a, a woman who was a black belt in karate and she was the, uh, she was in the junior Olympics or something or they seem to have people who have very, very big sports backgrounds. To have they, leaned away from that sort of,"
53,M,what.lol,M|what.lol
54,A,"Oh, that's how they do it.","A|Oh, that's how they do it."
55,M,I,M|I
56,A,Really?,A|Really?
57,M,So.,M|So.
58,A,"Yeah, okay, I just thought they had some,","A|Yeah, okay, I just thought they had some,"
59,M,They're just making a joke.,M|They're just making a joke.
60,A,"yeah, I thought they had some sort of, I mean, I thought they were just poor people like us I guess not, that's great.","A|yeah, I thought they had some sort of, I mean, I thought they were just poor people like us I guess not, that's great."
61,M,They're pretty good.,M|They're pretty good.
62,A,"But, maybe I'll try it one day. I'll get on there one day and see if I can, uh, um, what, what do they win, they, they win money I think, don't they?","A|But, maybe I'll try it one day. I'll get on there one day and see if I can, uh, um, what, what do they win, they, they win money I think, don't they?"
63,M,"Not much, but they have some","M|Not much, but they have some"
64,A,Really?,A|Really?
65,M,There's a lot of people who have a lot more money than I do.,M|There's a lot of people who have a lot more money than I do.
66,A,Wow. All that for getting tennis balls shot at you at a hundred miles an hour.,A|Wow. All that for getting tennis balls shot at you at a hundred miles an hour.
67,M,How much?,M|How much?
68,A,"One little ball here and there, yeah, and this guy's beating you up, so, I don't know the beating up part. I, I actually feel the tennis balls would hurt.","A|One little ball here and there, yeah, and this guy's beating you up, so, I don't know the beating up part. I, I actually feel the tennis balls would hurt."
69,M,I think he was just making a joke.,M|I think he was just making a joke.
70,A,"They look like, Yeah, they seem like a tennis ball but it almost doesn't look like it's almost livable yeah, the best I, I don't think I could, I, I could handle those tennis balls. So, what else to you tape besides AMERICAN at, there anything else?","A|They look like, Yeah, they seem like a tennis ball but it almost doesn't look like it's almost livable yeah, the best I, I don't think I could, I, I could handle those tennis balls. So, what else to you tape besides AMERICAN at, there anything else?"
71,M,This,M|This
72,A,Huh?,A|Huh?
73,M,We're,M|We're
74,A,Okay.,A|Okay.
75,M,"I'm gonna tape my fingers to my nails, I'm gonna do it.","M|I'm gonna tape my fingers to my nails, I'm gonna do it."
76,A,"Oh, okay.","A|Oh, okay."
77,M,There's no reason to be scared.,M|There's no reason to be scared.
78,A,Uh-huh.,A|Uh-huh.
79,M,Hm? Huh?,M|Hm? Huh?
80,A,"But, I'm sure that's fun.","A|But, I'm sure that's fun."
81,M,... I'm a girl.,M|... I'm a girl.
82,A,"Uh-huh. Oh, okay, well, they seem to be on later,","A|Uh-huh. Oh, okay, well, they seem to be on later,"
83,M,"That's not really the case, I've never had a case in which the defendant was not involved.","M|That's not really the case, I've never had a case in which the defendant was not involved."
84,A,"all, always right, right before the news is when I catch them. I, I tend to, if nothing else is in the town television at eleven o'clock just to watch the news, and or, or NIGHTLINE or something, just sort of get a good, you know, a good, a good think for the day.","A|all, always right, right before the news is when I catch them. I, I tend to, if nothing else is in the town television at eleven o'clock just to watch the news, and or, or NIGHTLINE or something, just sort of get a good, you know, a good, a good think for the day."
85,M,Uhm.,M|Uhm.
86,A,Yes. When is yours on?,A|Yes. When is yours on?
87,M,is your news on?,M|is your news on?
88,A,"Oh, gosh, well, I'm sorry I interrupted, um,","A|Oh, gosh, well, I'm sorry I interrupted, um,"
89,M,I was just kidding.,M|I was just kidding.
90,A,"Yeah, ours is on,","A|Yeah, ours is on,"
91,M,"We are all in the same place, right?","M|We are all in the same place, right?"
92,A,"actually it, ours is on at eleven it, it's, um, eleven o'clock now here or eleven twenty-five now here in New York. Um, I think they they do that, I think they put things on at, um, eleven o'clock here and I think they put it like eleven o'clock, um, California time, like in California but in the middle they sort of, um, like central time or mountain time they, they push things back. So, I was actually, actually I'm not sure , I was in, I was in Iowa awhile ago, and noticed that everything was an hour earlier, so, does your prime time start at seven o'clock?","A|actually it, ours is on at eleven it, it's, um, eleven o'clock now here or eleven twenty-five now here in New York. Um, I think they they do that, I think they put things on at, um, eleven o'clock here and I think they put it like eleven o'clock, um, California time, like in California but in the middle they sort of, um, like central time or mountain time they, they push things back. So, I was actually, actually I'm not sure , I was in, I was in Iowa awhile ago, and noticed that everything was an hour earlier, so, does your prime time start at seven o'clock?"
93,M,,M|
94,A,"Wait, no, no,","A|Wait, no, no,"
95,M,I...,M|I...
96,A,"not, not even the news but do they have like, um, do like sort of all the regular sitcoms and so forth, start at seven o'clock? You, so, like, you know, the regular television shows that are, that are very popular, do they start at, seven or, or at eight?","A|not, not even the news but do they have like, um, do like sort of all the regular sitcoms and so forth, start at seven o'clock? You, so, like, you know, the regular television shows that are, that are very popular, do they start at, seven or, or at eight?"
97,M,,M|
98,A,"Right, because that would the eight o'clock here.","A|Right, because that would the eight o'clock here."
99,M,It's the show.,M|It's the show.
100,A,"Yeah, that, that would all start at, at, um, that would all start at, at eight o'clock here, that wouldn't start at seven. We have, um, at seven o'clock we just have, um, the, they'll play, you know, they have old reruns of CHEERS or something from seven to seven thirty, and then something else from seven thirty to eight","A|Yeah, that, that would all start at, at, um, that would all start at, at eight o'clock here, that wouldn't start at seven. We have, um, at seven o'clock we just have, um, the, they'll play, you know, they have old reruns of CHEERS or something from seven to seven thirty, and then something else from seven thirty to eight"
101,M,,M|
102,A,"and ours start at, at, at, at eight and end at eleven, that's why we . I, I would actually like it better if everything started at seven and ended at ten.","A|and ours start at, at, at, at eight and end at eleven, that's why we . I, I would actually like it better if everything started at seven and ended at ten."
103,M,"how do we could'a, and, i,","M|how do we could'a, and, i,"
104,A,"Oh, that's great.","A|Oh, that's great."
105,M,That's,M|That's
106,A,"Oh, all the time. Do you watch CHEERS","A|Oh, all the time. Do you watch CHEERS"
107,M,What is it?,M|What is it?
108,A,"it's at, that was actually a big dilemma for me now because, um, CHEERS, CHEERS and TWIN PEAKS are now on the same time,","A|it's at, that was actually a big dilemma for me now because, um, CHEERS, CHEERS and TWIN PEAKS are now on the same time,"
