,Speaker,Utterance,Unified
5,B,Yes. Yes.,B|Yes. Yes.
25,B,"Fifty-five is the minimum but they usually run about sixty to sixty-five. And the ones that are shown, they are inside that weight allowance.","B|Fifty-five is the minimum but they usually run about sixty to sixty-five. And the ones that are shown, they are inside that weight allowance."
26,M,"Oh, yeah.","M|Oh, yeah."
27,B,"You cannot show your retriever if it's, you know, a hundred plus pounds.","B|You cannot show your retriever if it's, you know, a hundred plus pounds."
28,M,Right.,M|Right.
29,B,"So don't say she's small, just say she's perfect.","B|So don't say she's small, just say she's perfect."
30,M,"Yeah, well, I think she's real cute.","M|Yeah, well, I think she's real cute."
31,B,Uh-huh.,B|Uh-huh.
32,M,"And, uh, she has a dark nose, blackened nose, and, uh","M|And, uh, she has a dark nose, blackened nose, and, uh"
33,B,Yep.,B|Yep.
34,M,"But she's, she is a good example for young people to look for, too. Because, you know, if you want to be a good, a good parent, you can always learn to be.","M|But she's, she is a good example for young people to look for, too. Because, you know, if you want to be a good, a good parent, you can always learn to be."
35,B,"Well, they are, they are the ultimate dog to have around kids so long as your kid is not scared of a big dog, because I had a retriever, actually I had a retriever Irish Setter cross. Which is a really nice animal","B|Well, they are, they are the ultimate dog to have around kids so long as your kid is not scared of a big dog, because I had a retriever, actually I had a retriever Irish Setter cross. Which is a really nice animal"
36,M,"Oh, yeah.","M|Oh, yeah."
37,B,and fortunately it was just like a retriever and then I've had a retriever.,B|and fortunately it was just like a retriever and then I've had a retriever.
38,M,"Oh, yeah.","M|Oh, yeah."
39,B,"It was gorgeous. It was just gorgeous. I mean just gorgeous. Um, and they both, you know, both the half breed and the pure breed had the, uh, what I consider the, the, the perfect disposition. But you know what, you know what scares me about Golden Retrievers? Since they've become so popular you get what I call backyard breeders. Which is probably where yours came from. People that don't know what they're doing, and they breed them, you know, for a certain characteristic. And in the retrievers it happens to be they like them big, for somehow big is perceived as the better. And when you start doing that you really tamper with, you know, the, all the, the years of, uh, culling litters and, and, uh, you tamper with what the dog innately is.","B|It was gorgeous. It was just gorgeous. I mean just gorgeous. Um, and they both, you know, both the half breed and the pure breed had the, uh, what I consider the, the, the perfect disposition. But you know what, you know what scares me about Golden Retrievers? Since they've become so popular you get what I call backyard breeders. Which is probably where yours came from. People that don't know what they're doing, and they breed them, you know, for a certain characteristic. And in the retrievers it happens to be they like them big, for somehow big is perceived as the better. And when you start doing that you really tamper with, you know, the, all the, the years of, uh, culling litters and, and, uh, you tamper with what the dog innately is."
40,M,"Uh-huh. Uh-hauhuh, uh-hue.","M|Uh-huh. Uh-hauhuh, uh-hue."
41,B,"We when I was, when I bought my last purebred retriever I mean I looked all over because I wanted one that still looked like a retriever, you know, the short to the ground, stocky, golden, uh, trainable, tractable, quiet animal that could hunt and still be in the house.","B|We when I was, when I bought my last purebred retriever I mean I looked all over because I wanted one that still looked like a retriever, you know, the short to the ground, stocky, golden, uh, trainable, tractable, quiet animal that could hunt and still be in the house."
42,M,Uh-huh.,M|Uh-huh.
43,B,"And I ended up getting one that, uh, came out of a, a, a hunting stock because I wanted one that could still perform like a retriever did.","B|And I ended up getting one that, uh, came out of a, a, a hunting stock because I wanted one that could still perform like a retriever did."
44,M,Uh-huh.,M|Uh-huh.
45,B,"And I've seen an awful lot of lately really dumb, dumb retrievers and I'm, and I really fear for the breed because I love that breed,","B|And I've seen an awful lot of lately really dumb, dumb retrievers and I'm, and I really fear for the breed because I love that breed,"
46,M,Yeah.,M|Yeah.
47,B,but I really figure right when it becomes really popular that it's going to be ruined.,B|but I really figure right when it becomes really popular that it's going to be ruined.
48,M,Uh-huh.,M|Uh-huh.
49,B,"Oh, yeah. You bet you. You bet you. You know how they came up with the retriever, don't you, the Golden?","B|Oh, yeah. You bet you. You bet you. You know how they came up with the retriever, don't you, the Golden?"
50,M,"Uh, yeah, and it's, it's a purebred Golden Retriever.","M|Uh, yeah, and it's, it's a purebred Golden Retriever."
51,B,"It was bred out of several different retrievers, and they bred it for companionship and, uh, uh, disposition and, and ability to hunt. It was kept only by kings.","B|It was bred out of several different retrievers, and they bred it for companionship and, uh, uh, disposition and, and ability to hunt. It was kept only by kings."
52,M,"Uh-huh. Oh, that's interesting.","M|Uh-huh. Oh, that's interesting."
53,B,"But they selectively culled those litters, I mean, for many hundreds of years and since it slept in the castle with its master, I mean it had, it had to be of a disposition to make it, you know, an animal you could keep around that closely. But they would go through all the litters and destroy the puppies if they were anything other than perfect. Now, you know, that seems like a cruel thing to do.","B|But they selectively culled those litters, I mean, for many hundreds of years and since it slept in the castle with its master, I mean it had, it had to be of a disposition to make it, you know, an animal you could keep around that closely. But they would go through all the litters and destroy the puppies if they were anything other than perfect. Now, you know, that seems like a cruel thing to do."
54,M,Yeah.,M|Yeah.
55,B,"On the other hand, you sure, you know, they sure created a, a wonderful breed, I mean a wonderful breed.","B|On the other hand, you sure, you know, they sure created a, a wonderful breed, I mean a wonderful breed."
56,M,"Well, it's, it, it was, it certainly was, uh","M|Well, it's, it, it was, it certainly was, uh"
57,B,Uh-huh.,B|Uh-huh.
58,M,And they were all purebreds.,M|And they were all purebreds.
59,B,"Well, I tell you, you know the, the German shepherd is the classic case of what I'm talking about because in America that's called a Rin Tin Tin phenomena.","B|Well, I tell you, you know the, the German shepherd is the classic case of what I'm talking about because in America that's called a Rin Tin Tin phenomena."
60,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
61,B,Only in America is there a dog called a German Shepherd.,B|Only in America is there a dog called a German Shepherd.
62,M,Yeah.,M|Yeah.
63,B,"That dog is bred out of three European dogs. The Belgian Tervurien, a German Skutzhund, and a makes a I always forget the third one. I can see it. Uh, uh, but the third one is a children's dog.","B|That dog is bred out of three European dogs. The Belgian Tervurien, a German Skutzhund, and a makes a I always forget the third one. I can see it. Uh, uh, but the third one is a children's dog."
64,M,Okay.,M|Okay.
65,B,"And there are distinct breeds in Europe. Now what happened over here was is that people saw the, the first, um, which would actually have been a Skutzhund which is what Rin Tin Tin was.","B|And there are distinct breeds in Europe. Now what happened over here was is that people saw the, the first, um, which would actually have been a Skutzhund which is what Rin Tin Tin was."
66,M,Huh.,M|Huh.
67,B,And everybody wanted Rin Tin Tin. And it was known as a German shepherd here. So they created a breed standard. The American Kennel Club did.,B|And everybody wanted Rin Tin Tin. And it was known as a German shepherd here. So they created a breed standard. The American Kennel Club did.
68,M,Huh.,M|Huh.
69,B,"That said anything that is a Skutzhund, a, a Tervurien and, uh, Alsatian that's the other one. Alsatian, any inner breeding of that can be called a German shepherd here.","B|That said anything that is a Skutzhund, a, a Tervurien and, uh, Alsatian that's the other one. Alsatian, any inner breeding of that can be called a German shepherd here."
70,M,Huh.,M|Huh.
71,B,"And what happened is, is that people wanted this shepherd to shepherd and protect. And they bred a dog that I it's called a, an animal's critical span which basically translates to how much shit will it take before it bites you. That German shepherd, the American German Shepherd here was a, a, a such an unreliable animal that the American Seeing Eye Institute refused to use them, because they would turn on on their handlers.","B|And what happened is, is that people wanted this shepherd to shepherd and protect. And they bred a dog that I it's called a, an animal's critical span which basically translates to how much shit will it take before it bites you. That German shepherd, the American German Shepherd here was a, a, a such an unreliable animal that the American Seeing Eye Institute refused to use them, because they would turn on on their handlers."
72,M,!!!%!! translated!!;!! translate!! translation!!You can't do that in a school.,M|!!!%!! translated!!;!! translate!! translation!!You can't do that in a school.
73,B,"And even, um, uh, police corps which started, you know, finding other breeds to use because this thing, this, this thing known as a German shepherd here, its personality and its dependability and its reliability was just terrible. So about fifteen years ago the German Shepherd Club of America decided amongst themselves that they were going to change this. So they went back to Europe and brought back some good examples of each of the three breeds and bred to a standard what they wanted an American German shepherd to be. Which is a very heavily now Skutzhund and Alsatian,","B|And even, um, uh, police corps which started, you know, finding other breeds to use because this thing, this, this thing known as a German shepherd here, its personality and its dependability and its reliability was just terrible. So about fifteen years ago the German Shepherd Club of America decided amongst themselves that they were going to change this. So they went back to Europe and brought back some good examples of each of the three breeds and bred to a standard what they wanted an American German shepherd to be. Which is a very heavily now Skutzhund and Alsatian,"
74,M,"Uh, how old are these dogs?","M|Uh, how old are these dogs?"
75,B,"and it's the Alsatian that's the kid's dog. It's just, you see them in Europe and they're just lovely.","B|and it's the Alsatian that's the kid's dog. It's just, you see them in Europe and they're just lovely."
76,M,"Well, I don't know, uh.","M|Well, I don't know, uh."
77,B,"But you'll see, I mean, if you ever start looking in papers now and you start seeing these ads for German Shepherds, they will say on them, bred for disposition, A K C conforming which means that their advertising that this is no longer an indiscriminate dog.","B|But you'll see, I mean, if you ever start looking in papers now and you start seeing these ads for German Shepherds, they will say on them, bred for disposition, A K C conforming which means that their advertising that this is no longer an indiscriminate dog."
78,M,Uh.,M|Uh.
79,B,"This is bred for, and they had to go through and destroy a, for a while there, about seventy-five percent of their puppies that they bred.","B|This is bred for, and they had to go through and destroy a, for a while there, about seventy-five percent of their puppies that they bred."
80,M,"!!!!,!!;!!%!! Remind me.","M|!!!!,!!;!!%!! Remind me."
81,B,"Because they were looking for this disposition. And nowadays you, you'll get, you'll get a dog trainer to recommend a specific, you know, breeder handler. They will recommend their shepherds as a children's dog.","B|Because they were looking for this disposition. And nowadays you, you'll get, you'll get a dog trainer to recommend a specific, you know, breeder handler. They will recommend their shepherds as a children's dog."
82,M,"Oh, really?","M|Oh, really?"
83,B,But ...,B|But ...
