,Speaker,Utterance,Unified
5,B,Surely.,B|Surely.
54,M,"Oh, my.","M|Oh, my."
55,B,Basically.,B|Basically.
56,M,"So,","M|So,"
57,B,"You don't have to shift So you, cars become very simple all  of a sudden too.","B|You don't have to shift So you, cars become very simple all  of a sudden too."
58,M,Right.,M|Right.
59,B,Very interesting.,B|Very interesting.
60,M,"So,","M|So,"
61,B,"Yeah. There's, there's a race in Australia with solar powered cars.","B|Yeah. There's, there's a race in Australia with solar powered cars."
62,M,Uh-huh.,M|Uh-huh.
63,B,And Ford and General Motors and all those compete.,B|And Ford and General Motors and all those compete.
64,M,Uh-huh.,M|Uh-huh.
65,B,Right. Yeah,B|Right. Yeah
66,M,"But, uh,","M|But, uh,"
67,B,"G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now.","B|G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now."
68,M,Yeah.,M|Yeah.
69,B,"To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them.","B|To operate, yeah. But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company. Free, you know, free for them."
70,M,Right.,M|Right.
71,B,Kind of interesting so see.,B|Kind of interesting so see.
72,M,"So, uh.","M|So, uh."
73,B,"Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle.","B|Uh-huh. Yeah It's top speed is something like eighty miles an hour. So it's  a good, good  vehicle."
74,M,"Oh, really?","M|Oh, really?"
75,B,Uh-huh,B|Uh-huh
76,M,"but, uh.","M|but, uh."
77,B,"Oh, I wasn't there too long ago. Uh.","B|Oh, I wasn't there too long ago. Uh."
78,M,Oh.,M|Oh.
79,B,"Well, you know, going over the hills, you know, coming into the valley?","B|Well, you know, going over the hills, you know, coming into the valley?"
80,M,Yeah.,M|Yeah.
81,B,"You can see that horrible, horrible brown haze.","B|You can see that horrible, horrible brown haze."
82,M,Oh.,M|Oh.
