,Speaker,Utterance,Unified
33,B,"I tape it. But I understand, uh, that in England, they play it at normal times because they don't consider that violent, and the reason they have it on here so late is because they consider it a violent program.","B|I tape it. But I understand, uh, that in England, they play it at normal times because they don't consider that violent, and the reason they have it on here so late is because they consider it a violent program."
34,M,Yeah,M|Yeah
35,B,"And, I'm like, I don't believe this.","B|And, I'm like, I don't believe this."
36,M,"Well, I, I think that, uh.","M|Well, I, I think that, uh."
37,B,I don't either.,B|I don't either.
38,M,"I mean, it's, it, you know, it doesn't really have anything to do with, uh.","M|I mean, it's, it, you know, it doesn't really have anything to do with, uh."
39,B,You're in New York?,B|You're in New York?
40,M,!!!%!! Remind me.,M|!!!%!! Remind me.
41,B,Oh.,B|Oh.
42,M,Yeah.,M|Yeah.
43,B,"I'm in Dallas, Texas.","B|I'm in Dallas, Texas."
44,M,Okay.,M|Okay.
45,B,"Oh, really?","B|Oh, really?"
46,M,"Yeah, and, and it's, it's just, it, it was really, I mean, it wasn't, it didn't, I, I didn't enjoy it at all, and I don't know why. I just thought it was so repetitious.","M|Yeah, and, and it's, it's just, it, it was really, I mean, it wasn't, it didn't, I, I didn't enjoy it at all, and I don't know why. I just thought it was so repetitious."
47,B,Oh.,B|Oh.
48,M,!!!%!! Remind me!!,M|!!!%!! Remind me!!
49,B,"I think it's great. I love watching a microbiologist fighting off with a policemen or something else, and competition. I'm going oh, great, you know, it's a, it's a great role model for everybody.","B|I think it's great. I love watching a microbiologist fighting off with a policemen or something else, and competition. I'm going oh, great, you know, it's a, it's a great role model for everybody."
50,M,"Yeah, I, I agree with you there.","M|Yeah, I, I agree with you there."
51,B,"Oh, yes, I mean, when I had, uh, I was watching it, the, first time I ever saw a microbiologist on there I thought well, it just goes to prove it has nothing to do with your physical capabilities. And, uh, there she was terrific, she was really terrific.","B|Oh, yes, I mean, when I had, uh, I was watching it, the, first time I ever saw a microbiologist on there I thought well, it just goes to prove it has nothing to do with your physical capabilities. And, uh, there she was terrific, she was really terrific."
52,M,Uh-huh.,M|Uh-huh.
53,B,"They hold competitions in Los Angeles in, um, Florida and Minneapolis, um, trying to think of, I think it's in four places around the United States. They hold competition and the only requirement is, of course, your skill of passing these tests,","B|They hold competitions in Los Angeles in, um, Florida and Minneapolis, um, trying to think of, I think it's in four places around the United States. They hold competition and the only requirement is, of course, your skill of passing these tests,"
54,M,Uh-huh.,M|Uh-huh.
55,B,and that's it. And we had a bar man from here in Dallas area that made it.,B|and that's it. And we had a bar man from here in Dallas area that made it.
56,M,Uh-huh.,M|Uh-huh.
57,B,"There is a woman that, uh, made, well, she called herself a craft person so, I'm not quite sure what she made. And, uh, she made it. I mean there is no, your occupation has nothing to do with it.","B|There is a woman that, uh, made, well, she called herself a craft person so, I'm not quite sure what she made. And, uh, she made it. I mean there is no, your occupation has nothing to do with it."
58,M,Uh-huh.,M|Uh-huh.
59,B,Strictly your skill.,B|Strictly your skill.
60,M,"right, right.","M|right, right."
61,B,Huh-uh.,B|Huh-uh.
62,M,"And I just, I don't know, I, I really, I guess I'm, I was raised in a generation that didn't have, uh","M|And I just, I don't know, I, I really, I guess I'm, I was raised in a generation that didn't have, uh"
63,B,I think the last I heard was it's up to about a hundred fifty thousand dollars.,B|I think the last I heard was it's up to about a hundred fifty thousand dollars.
64,M,Ouch.,M|Ouch.
65,B,Uh-huh.,B|Uh-huh.
66,M,"Oh, that's not bad at all.","M|Oh, that's not bad at all."
67,B,"Yeah, that's, you know, just minor. Just minor little ball here or there, you know.","B|Yeah, that's, you know, just minor. Just minor little ball here or there, you know."
68,M,I see.,M|I see.
69,B,"Oh, well, they, they come out with a lot of bruises too.","B|Oh, well, they, they come out with a lot of bruises too."
70,M,"Uh-uh. But, I mean, it's, it, it is a problem.","M|Uh-uh. But, I mean, it's, it, it is a problem."
71,B,"Hey,","B|Hey,"
72,M,"Hey what do you think about, uh, uh uh, the, uh the, the draft system?","M|Hey what do you think about, uh, uh uh, the, uh the, the draft system?"
73,B,see I tape MURDER SHE WROTE.,B|see I tape MURDER SHE WROTE.
74,M,Huh.,M|Huh.
75,B,I like mysteries.,B|I like mysteries.
76,M,"Well, that's good.","M|Well, that's good."
77,B,"I like mysteries. I tape, um, FATHER DOWLING, because that's another mystery,","B|I like mysteries. I tape, um, FATHER DOWLING, because that's another mystery,"
78,M,Yeah.,M|Yeah.
79,B,and I don't have to concentrate too hard on them.,B|and I don't have to concentrate too hard on them.
80,M,"!!!% Well, that's good.","M|!!!% Well, that's good."
81,B,"Um, most of the lawyer programs like, uh, LAW AND ORDER, they're not on the times that I've got, that I've watched because I haven't had T got, T V GUIDE around here in ages.","B|Um, most of the lawyer programs like, uh, LAW AND ORDER, they're not on the times that I've got, that I've watched because I haven't had T got, T V GUIDE around here in ages."
82,M,"Uh, well, I haven tought about that, but I, I've heard about it.","M|Uh, well, I haven tought about that, but I, I've heard about it."
83,B,Yeah.,B|Yeah.
84,M,"so, I, I've seen them in the, uh in the video.","M|so, I, I've seen them in the, uh in the video."
85,B,Your news is on at eleven?,B|Your news is on at eleven?
86,M,"Uh, well actually, uh-hope so, because I'm at work, so I don't have a whole lot of time to watch it.","M|Uh, well actually, uh-hope so, because I'm at work, so I don't have a whole lot of time to watch it."
87,B,"Ten, I was just in the middle of watching it.","B|Ten, I was just in the middle of watching it."
88,M,"Oh, okay.","M|Oh, okay."
89,B,"Oh, that's okay.","B|Oh, that's okay."
90,M,Yeah.,M|Yeah.
91,B,No problem.,B|No problem.
92,M,"it's on like, um.","M|it's on like, um."
93,B,"No, well, they have it at six and they have it at nine,","B|No, well, they have it at six and they have it at nine,"
94,M,Okay.,M|Okay.
95,B,and they have one at ten.,B|and they have one at ten.
96,M,"Well, they don't have one in Texas.","M|Well, they don't have one in Texas."
97,B,"I'm trying to think. Both, um, let's see they start, um, EVENING SHADE at seven and then it goes to, um, what is it after EVENING, um,","B|I'm trying to think. Both, um, let's see they start, um, EVENING SHADE at seven and then it goes to, um, what is it after EVENING, um,"
98,M,"Oh, okay.","M|Oh, okay."
99,B,that's MAJOR DAD at eight I think it is.,B|that's MAJOR DAD at eight I think it is.
100,M,"I, I don't, I think, I mean, I can't remember, I, I just remember seeing an ad for it, and I thought, no, it's not, it wasn't even advertised, and it's just a regular, you, you watch it at eight o clock,","M|I, I don't, I think, I mean, I can't remember, I, I just remember seeing an ad for it, and I thought, no, it's not, it wasn't even advertised, and it's just a regular, you, you watch it at eight o clock,"
101,B,Huh.,B|Huh.
102,M,"and then they'd have like, oh, the music's okay, but then they have like the real, um music, like the old country and western, you really can't understand what they're saying.","M|and then they'd have like, oh, the music's okay, but then they have like the real, um music, like the old country and western, you really can't understand what they're saying."
103,B,"Yeah, it's, it's stopped around here at ten and it goes into night programs, at that point which could be one of, you know, many different night programs but it goes into night programs.","B|Yeah, it's, it's stopped around here at ten and it goes into night programs, at that point which could be one of, you know, many different night programs but it goes into night programs."
104,M,"Oh, yeah.","M|Oh, yeah."
105,B,"But, uh, do you ever watch CHEERS?","B|But, uh, do you ever watch CHEERS?"
106,M,"No, I don't watch much T V, but I have a V C R and I do watch the news on, on the way to work.","M|No, I don't watch much T V, but I have a V C R and I do watch the news on, on the way to work."
107,B,"Oh, yeah, oh, yeah.","B|Oh, yeah, oh, yeah."
108,M,It's funny.,M|It's funny.
