,response,context,context/0,context/1,context/2,context/3
105,"just go straight down and round the side of it and underneath it 'til you're underneath the ""c""",mmhmm,or just to the right of it okay i want you to you see where it comes down like that,mmhmm,just underneath concealed hideout,yeah
106,mm,well i want you to follow follow the line of the the coast there so draw from concealed hideout vertically downwards 'til you come to that jutting out bit of the coastline then until until on that incline draw you know follow the line of the coast but don't don't go on to crane bay until you come to the the next bit that comes up okay stop there,mmhmm,or just to the right of it okay i want you to you see where it comes down like that,mmhmm,just underneath concealed hideout
107,okay,mmhmm mmhmm,well i want you to follow follow the line of the the coast there so draw from concealed hideout vertically downwards 'til you come to that jutting out bit of the coastline then until until on that incline draw you know follow the line of the coast but don't don't go on to crane bay until you come to the the next bit that comes up okay stop there,mmhmm,or just to the right of it okay i want you to you see where it comes down like that,mmhmm
108,no,right do you have ehm coconut palm to your left,mmhmm mmhmm,well i want you to follow follow the line of the the coast there so draw from concealed hideout vertically downwards 'til you come to that jutting out bit of the coastline then until until on that incline draw you know follow the line of the coast but don't don't go on to crane bay until you come to the the next bit that comes up okay stop there,mmhmm,or just to the right of it okay i want you to you see where it comes down like that
109,well if you go if you just stay on the left-hand side of the map for about eh three inches,no,right do you have ehm coconut palm to your left,mmhmm mmhmm,well i want you to follow follow the line of the the coast there so draw from concealed hideout vertically downwards 'til you come to that jutting out bit of the coastline then until until on that incline draw you know follow the line of the coast but don't don't go on to crane bay until you come to the the next bit that comes up okay stop there,mmhmm
110,yeah,no do you have pebbled shore,no,right do you have ehm coconut palm to your left,mmhmm mmhmm,well i want you to follow follow the line of the the coast there so draw from concealed hideout vertically downwards 'til you come to that jutting out bit of the coastline then until until on that incline draw you know follow the line of the coast but don't don't go on to crane bay until you come to the the next bit that comes up okay stop there
111,"!!!'!!mm!!u!!a!!s!!""!! Assad!!i!!r!!",mmhmm,no do you have pebbled shore,no,right do you have ehm coconut palm to your left,mmhmm mmhmm
112,"!!! Remindme!!EMBER!!2017!!2018!!2019!!2020!! 2018!!'!!""!!,!!.!!?!!god!!there!!okay!!mm!!",well i want you to draw uh i've got pebbled shore and above that i've got coconut palm,mmhmm,no do you have pebbled shore,no,right do you have ehm coconut palm to your left
113,do you want me to go right round pebbling shore,mmhmm,well i want you to draw uh i've got pebbled shore and above that i've got coconut palm,mmhmm,no do you have pebbled shore,no
114,i've got i've curved round crane bay,right so imagine you've got a tree there and i want you to draw between where that tree would be where the pebbled shore is so just keep drawing go make your line go down a bit right and just to come to above pebbled shore and just stop the end there and then ehm i don't suppose you've got finished marked on your map no right have you got anything below pebbled shore,mmhmm,well i want you to draw uh i've got pebbled shore and above that i've got coconut palm,mmhmm,no do you have pebbled shore
115,right,washed stones,right so imagine you've got a tree there and i want you to draw between where that tree would be where the pebbled shore is so just keep drawing go make your line go down a bit right and just to come to above pebbled shore and just stop the end there and then ehm i don't suppose you've got finished marked on your map no right have you got anything below pebbled shore,mmhmm,well i want you to draw uh i've got pebbled shore and above that i've got coconut palm,mmhmm
116,have you got pea tree,well,washed stones,right so imagine you've got a tree there and i want you to draw between where that tree would be where the pebbled shore is so just keep drawing go make your line go down a bit right and just to come to above pebbled shore and just stop the end there and then ehm i don't suppose you've got finished marked on your map no right have you got anything below pebbled shore,mmhmm,well i want you to draw uh i've got pebbled shore and above that i've got coconut palm
117,uh-huh,and flagship and bay,well,washed stones,right so imagine you've got a tree there and i want you to draw between where that tree would be where the pebbled shore is so just keep drawing go make your line go down a bit right and just to come to above pebbled shore and just stop the end there and then ehm i don't suppose you've got finished marked on your map no right have you got anything below pebbled shore,mmhmm
118,uh-huh,right see see where the flagship is,and flagship and bay,well,washed stones,right so imagine you've got a tree there and i want you to draw between where that tree would be where the pebbled shore is so just keep drawing go make your line go down a bit right and just to come to above pebbled shore and just stop the end there and then ehm i don't suppose you've got finished marked on your map no right have you got anything below pebbled shore
119,see the pebbled shore,mmhmm,right see see where the flagship is,and flagship and bay,well,washed stones
120,uh-huh,right and see where the pebbled shore is,mmhmm,right see see where the flagship is,and flagship and bay,well
121,"see where the ""e"" is in bay",mmhmm,right and see where the pebbled shore is,mmhmm,right see see where the flagship is,and flagship and bay
122,can i go down there,imagine a a triangle with ehm an equilateral triangle with the pebbled shore flagship and finish right can you,mmhmm,right and see where the pebbled shore is,mmhmm,right see see where the flagship is
123,right okay that's where you're,mmhmm yeah,imagine a a triangle with ehm an equilateral triangle with the pebbled shore flagship and finish right can you,mmhmm,right and see where the pebbled shore is,mmhmm
124,right okay,sort of see where that is right imagine the finish is there draw roughly down to there,mmhmm yeah,imagine a a triangle with ehm an equilateral triangle with the pebbled shore flagship and finish right can you,mmhmm,right and see where the pebbled shore is
125,yeah,ehm bypassing pebbled shore,sort of see where that is right imagine the finish is there draw roughly down to there,mmhmm yeah,imagine a a triangle with ehm an equilateral triangle with the pebbled shore flagship and finish right can you,mmhmm
126,yeah,it would be just just near mmhmm but you just right near the end of the page,ehm bypassing pebbled shore,sort of see where that is right imagine the finish is there draw roughly down to there,mmhmm yeah,imagine a a triangle with ehm an equilateral triangle with the pebbled shore flagship and finish right can you
127,uh-huh,so i just go down to the right of pebbled shore,it would be just just near mmhmm but you just right near the end of the page,ehm bypassing pebbled shore,sort of see where that is right imagine the finish is there draw roughly down to there,mmhmm yeah
128,right,yeah uh-huh,so i just go down to the right of pebbled shore,it would be just just near mmhmm but you just right near the end of the page,ehm bypassing pebbled shore,sort of see where that is right imagine the finish is there draw roughly down to there
129,right,uh-huh and down like,yeah uh-huh,so i just go down to the right of pebbled shore,it would be just just near mmhmm but you just right near the end of the page,ehm bypassing pebbled shore
130,oh right okay right,no no not to the right,uh-huh and down like,yeah uh-huh,so i just go down to the right of pebbled shore,it would be just just near mmhmm but you just right near the end of the page
131,uh right,the right as you face the map,no no not to the right,uh-huh and down like,yeah uh-huh,so i just go down to the right of pebbled shore
132,right okay go down about an inch and then curve round the side of the missionary camp,no,the right as you face the map,no no not to the right,uh-huh and down like,yeah uh-huh
133,"!!!'!!!'!!':!!""!! Bolshevik!! Bolshe!!'t!!there!!right!!ok!!8!!7!!4!!",well what side then,no,the right as you face the map,no no not to the right,uh-huh and down like
134,uh-huh,the left you've you've drawn above pebbled shore,well what side then,no,the right as you face the map,no no not to the right
135,right you're going to go down ehm to underneath pebbles and ehm once you get to the second peak of pebbling stick closely to it,uh-huh,the left you've you've drawn above pebbled shore,well what side then,no,the right as you face the map
136,right okay,well just draw in a diagonal to your left,uh-huh,the left you've you've drawn above pebbled shore,well what side then,no
137,uh to the end the page right,to the end of the page,well just draw in a diagonal to your left,uh-huh,the left you've you've drawn above pebbled shore,well what side then
138,right okay,mmhmm right quite far down,to the end of the page,well just draw in a diagonal to your left,uh-huh,the left you've you've drawn above pebbled shore
139,"!!!!,!!'!!!'!!""!! Assad!!right!!there!!",and then down,mmhmm right quite far down,to the end of the page,well just draw in a diagonal to your left,uh-huh
140,"!!!>]!!'!!!'!!""!!,!!8!!4!!6!!7!!",and then,and then down,mmhmm right quite far down,to the end of the page,well just draw in a diagonal to your left
141,"!!!!.!!'!!!'!!""!!",but then i've got washed stones there,and then,and then down,mmhmm right quite far down,to the end of the page
142,so i'm going up and then across,well i want you to avoid that,but then i've got washed stones there,and then,and then down,mmhmm right quite far down
143,no,uh-huh so i go underneath the beach the pebbled shore again,well i want you to avoid that,but then i've got washed stones there,and then,and then down
144,i've not got washed,and go uh-huh no well i don't know where's your where's your washed stones,uh-huh so i go underneath the beach the pebbled shore again,well i want you to avoid that,but then i've got washed stones there,and then
145,uh i've i've washed stones are they to the right of pebbles,it's below pebbled shore to the left,and go uh-huh no well i don't know where's your where's your washed stones,uh-huh so i go underneath the beach the pebbled shore again,well i want you to avoid that,but then i've got washed stones there
146,right,well that's okay just draw round it and past it,it's below pebbled shore to the left,and go uh-huh no well i don't know where's your where's your washed stones,uh-huh so i go underneath the beach the pebbled shore again,well i want you to avoid that
147,"!!!'!!!'!!2017!!2018!!2019!!2020!! 2018!! 2020!!until!!,!!.!!""!!",to the left yeah,well that's okay just draw round it and past it,it's below pebbled shore to the left,and go uh-huh no well i don't know where's your where's your washed stones,uh-huh so i go underneath the beach the pebbled shore again
148,"!!!!,!!'!!!'!!""!! Rem!!okay!!there!!",yeah,to the left yeah,well that's okay just draw round it and past it,it's below pebbled shore to the left,and go uh-huh no well i don't know where's your where's your washed stones
149,okay,and then that's the finish,yeah,to the left yeah,well that's okay just draw round it and past it,it's below pebbled shore to the left
150,okay,and then the finish is just ehm on a horizontal with the flagship near to the coast about a centimetre away from the coast,and then that's the finish,yeah,to the left yeah,well that's okay just draw round it and past it
151,uh-huh,near the coast,and then the finish is just ehm on a horizontal with the flagship near to the coast about a centimetre away from the coast,and then that's the finish,yeah,to the left yeah
152,right so you've got a a a wee cross then that that's it finished,mmhmm,near the coast,and then the finish is just ehm on a horizontal with the flagship near to the coast about a centimetre away from the coast,and then that's the finish,yeah
153,right,right there,mmhmm,near the coast,and then the finish is just ehm on a horizontal with the flagship near to the coast about a centimetre away from the coast,and then that's the finish
154,right and then we're going to go straight along to the finish,okay,right there,mmhmm,near the coast,and then the finish is just ehm on a horizontal with the flagship near to the coast about a centimetre away from the coast
155,mm,okay,okay,right there,mmhmm,near the coast
156,yeah,is that just beside the flagship yeah,okay,okay,right there,mmhmm
157,and then like curve round the washed stones or whatever you've got there,mmhmm,is that just beside the flagship yeah,okay,okay,right there
158,and then do you have a great viewpoint just underneath the east lake,okay,mmhmm,is that just beside the flagship yeah,okay,okay
