,Speaker,Utterance,Unified
5,f,bottom,f|bottom
61,f,all right so you've the rope bridge and the waterfall and the fallen pillars so at the moment i'm at the waterfall,f|all right so you've the rope bridge and the waterfall and the fallen pillars so at the moment i'm at the waterfall
62,M,i did the first step of the fall,M|i did the first step of the fall
63,f,straight up,f|straight up
64,M,oh. i have the wall and the falls. how do you do the falls?,M|oh. i have the wall and the falls. how do you do the falls?
65,f,yeah so i'm straight up i'm now at the top of the waterfall ehm not quite halfway up the page,f|yeah so i'm straight up i'm now at the top of the waterfall ehm not quite halfway up the page
66,M,and the bridge is at the bottom of the bridge?,M|and the bridge is at the bottom of the bridge?
67,f,okay,f|okay
68,M,I've done it,M|I've done it
69,f,yeah okay that's fine,f|yeah okay that's fine
70,M,it's a long way down,M|it's a long way down
71,f,uh-huh,f|uh-huh
72,M,you are right,M|you are right
73,f,okay and how far along do i move,f|okay and how far along do i move
74,M,i'll go,M|i'll go
75,f,fine,f|fine
76,M,how far along am i,M|how far along am i
77,f,uh-huh okay that's fine i'm now halfway along underneath the fallen pillars,f|uh-huh okay that's fine i'm now halfway along underneath the fallen pillars
78,M,i just want to go over the fallen pillar,M|i just want to go over the fallen pillar
79,f,okay,f|okay
80,M,no i don't want to,M|no i don't want to
81,f,yeah,f|yeah
82,M,that's a good point,M|that's a good point
83,f,i do flamingoes,f|i do flamingoes
84,M,what are you doing?,M|what are you doing?
85,f,uh-huh yeah,f|uh-huh yeah
86,M,you're gonna have to move that down a bit,M|you're gonna have to move that down a bit
87,f,yeah,f|yeah
88,M,oh yeah,M|oh yeah
89,f,um ruined city is about three quarters up on the page and just slightly to the right of where i am at the moment,f|um ruined city is about three quarters up on the page and just slightly to the right of where i am at the moment
90,M,I dont see anything wrong with it,M|I dont see anything wrong with it
91,f,yeah yeah uh-huh,f|yeah yeah uh-huh
92,M,you know what i mean,M|you know what i mean
93,f,yeah,f|yeah
94,M,the city is just a little to the east,M|the city is just a little to the east
95,f,yeah okay so i'm i'm moving right basically,f|yeah okay so i'm i'm moving right basically
96,M,the ones in the ancient ruin,M|the ones in the ancient ruin
97,f,right now do i move up so that i'm level with the ruined city,f|right now do i move up so that i'm level with the ruined city
98,M,"yes, i'm getting the same thing","M|yes, i'm getting the same thing"
99,f,uh um okay right now i'm i'm on the left-hand side of the ruined city and about three quarters of the way up the page,f|uh um okay right now i'm i'm on the left-hand side of the ruined city and about three quarters of the way up the page
100,M,i'm right,M|i'm right
101,f,eh no i have a rock fall which is about halfway along the page and about three quarters of the way up,f|eh no i have a rock fall which is about halfway along the page and about three quarters of the way up
102,M,Do you have any stones in there?,M|Do you have any stones in there?
103,f,uh-huh okay so just continue to move straight up,f|uh-huh okay so just continue to move straight up
104,M,I don't know what you mean by that but I'll check,M|I don't know what you mean by that but I'll check
105,f,until almost at the top,f|until almost at the top
106,M,it's almost as if you can't move straight down,M|it's almost as if you can't move straight down
107,f,fine,f|fine
108,M,just keep going,M|just keep going
109,f,mm,f|mm
110,M,so sharp,M|so sharp
111,f,okay,f|okay
112,M,ok,M|ok
113,f,uh-huh,f|uh-huh
114,M,no you cant,M|no you cant
115,f,so go over the mountain,f|so go over the mountain
116,M,yeah it's a small rock.,M|yeah it's a small rock.
117,f,okay ehm i'm at about three quarters of the way along and at almost at the top of the page,f|okay ehm i'm at about three quarters of the way along and at almost at the top of the page
118,M,"ok fine, but you have to be more specific","M|ok fine, but you have to be more specific"
119,f,no i've got lost steps actually,f|no i've got lost steps actually
120,M,do you have any soft furnishments stores?,M|do you have any soft furnishments stores?
121,f,yeah yeah,f|yeah yeah
122,M,it's a little bit north of the mountain,M|it's a little bit north of the mountain
123,f,yeah,f|yeah
124,M,there's a place in the hills called the hills,M|there's a place in the hills called the hills
125,f,mountain and move yeah,f|mountain and move yeah
126,M,are you coming down from there?,M|are you coming down from there?
127,f,okay,f|okay
128,M,just go straight up,M|just go straight up
129,f,and straight down and,f|and straight down and
130,M,and then turn,M|and then turn
131,f,yeah,f|yeah
132,M,i have a gazelle and a jagdoo,M|i have a gazelle and a jagdoo
133,f,so do i move to the left-hand or the right-hand side of the gazelles,f|so do i move to the left-hand or the right-hand side of the gazelles
134,M,The left side of them,M|The left side of them
135,f,fine,f|fine
136,M,You can't take a picture of a photo of a picture,M|You can't take a picture of a photo of a picture
137,f,oh i see right that's a bit further along fine,f|oh i see right that's a bit further along fine
138,M,"i can't get there on my left, but i can get there with my right hand","M|i can't get there on my left, but i can get there with my right hand"
139,f,so i've stopped so ehm i am three quarters of the way along slightly more than halfway up and to the right of the gazelles,f|so i've stopped so ehm i am three quarters of the way along slightly more than halfway up and to the right of the gazelles
140,M,"so ehm, i think i'll stop at the bottom of the cliff","M|so ehm, i think i'll stop at the bottom of the cliff"
141,f,yeah,f|yeah
142,M,oh ok i see now,M|oh ok i see now
143,f,fine okay,f|fine okay
