,response,context,context/0,context/1,context/2,context/3
67,aye aye,the maps have been drawn by different explorers,i think you're on the wrong one,aye but but the,is there,a forest
68,see i've landed in an obstacle,aye aye,the maps have been drawn by different explorers,i think you're on the wrong one,aye but but the,is there
69,i see you'll have to go through the forest then,see i've landed in an obstacle,aye aye,the maps have been drawn by different explorers,i think you're on the wrong one,aye but but the
70,i'll have to go through the forest,i see you'll have to go through the forest then,see i've landed in an obstacle,aye aye,the maps have been drawn by different explorers,i think you're on the wrong one
71,mm,i'll have to go through the forest,i see you'll have to go through the forest then,see i've landed in an obstacle,aye aye,the maps have been drawn by different explorers
72,unfortunately right,mm,i'll have to go through the forest,i see you'll have to go through the forest then,see i've landed in an obstacle,aye aye
73,can you manage that,unfortunately right,mm,i'll have to go through the forest,i see you'll have to go through the forest then,see i've landed in an obstacle
74,right i've managed to get through it,can you manage that,unfortunately right,mm,i'll have to go through the forest,i see you'll have to go through the forest then
75,right now you should hopefully emerge at the cottage yeah,right i've managed to get through it,can you manage that,unfortunately right,mm,i'll have to go through the forest
76,at the abandoned cottage aye,right now you should hopefully emerge at the cottage yeah,right i've managed to get through it,can you manage that,unfortunately right,mm
77,that should be on your left-hand side,at the abandoned cottage aye,right now you should hopefully emerge at the cottage yeah,right i've managed to get through it,can you manage that,unfortunately right
78,yes,that should be on your left-hand side,at the abandoned cottage aye,right now you should hopefully emerge at the cottage yeah,right i've managed to get through it,can you manage that
79,okay you go up round the uh abandoned cottage,yes,that should be on your left-hand side,at the abandoned cottage aye,right now you should hopefully emerge at the cottage yeah,right i've managed to get through it
80,uh-huh,okay you go up round the uh abandoned cottage,yes,that should be on your left-hand side,at the abandoned cottage aye,right now you should hopefully emerge at the cottage yeah
81,keeping it always on your left,uh-huh,okay you go up round the uh abandoned cottage,yes,that should be on your left-hand side,at the abandoned cottage aye
82,right,keeping it always on your left,uh-huh,okay you go up round the uh abandoned cottage,yes,that should be on your left-hand side
83,no your left,right,keeping it always on your left,uh-huh,okay you go up round the uh abandoned cottage,yes
84,uh okay,no your left,right,keeping it always on your left,uh-huh,okay you go up round the uh abandoned cottage
85,okay coming round you should see a fenced meadow in front of you,uh okay,no your left,right,keeping it always on your left,uh-huh
86,another one,okay coming round you should see a fenced meadow in front of you,uh okay,no your left,right,keeping it always on your left
87,yes,another one,okay coming round you should see a fenced meadow in front of you,uh okay,no your left,right
88,no i've had a fenced meadow but there's only another there's nae more fenced meadows,yes,another one,okay coming round you should see a fenced meadow in front of you,uh okay,no your left
89,there's no,no i've had a fenced meadow but there's only another there's nae more fenced meadows,yes,another one,okay coming round you should see a fenced meadow in front of you,uh okay
90,no so that's irrelevant,there's no,no i've had a fenced meadow but there's only another there's nae more fenced meadows,yes,another one,okay coming round you should see a fenced meadow in front of you
91,you no got two fenced meadows,no so that's irrelevant,there's no,no i've had a fenced meadow but there's only another there's nae more fenced meadows,yes,another one
92,no,you no got two fenced meadows,no so that's irrelevant,there's no,no i've had a fenced meadow but there's only another there's nae more fenced meadows,yes
93,well what have you got instead of a fenced meadow,no,you no got two fenced meadows,no so that's irrelevant,there's no,no i've had a fenced meadow but there's only another there's nae more fenced meadows
94,i can't i don't know if i'm supposed to tell you that,well what have you got instead of a fenced meadow,no,you no got two fenced meadows,no so that's irrelevant,there's no
95,well you've just told me about the forest,i can't i don't know if i'm supposed to tell you that,well what have you got instead of a fenced meadow,no,you no got two fenced meadows,no so that's irrelevant
96,aye right so i've been through a forest,well you've just told me about the forest,i can't i don't know if i'm supposed to tell you that,well what have you got instead of a fenced meadow,no,you no got two fenced meadows
97,yes,aye right so i've been through a forest,well you've just told me about the forest,i can't i don't know if i'm supposed to tell you that,well what have you got instead of a fenced meadow,no
98,because uh the the maps are different,yes,aye right so i've been through a forest,well you've just told me about the forest,i can't i don't know if i'm supposed to tell you that,well what have you got instead of a fenced meadow
99,aye,because uh the the maps are different,yes,aye right so i've been through a forest,well you've just told me about the forest,i can't i don't know if i'm supposed to tell you that
100,so there's nae fenced meadow right,aye,because uh the the maps are different,yes,aye right so i've been through a forest,well you've just told me about the forest
101,no fenced meadow,so there's nae fenced meadow right,aye,because uh the the maps are different,yes,aye right so i've been through a forest
102,no,no fenced meadow,so there's nae fenced meadow right,aye,because uh the the maps are different,yes
103,you should be round a hundred and eighty degrees around to the abandoned cottage and then turn right okay so you've what you've done is you went round,no,no fenced meadow,so there's nae fenced meadow right,aye,because uh the the maps are different
104,come up to the abandoned cottage skirted it,you should be round a hundred and eighty degrees around to the abandoned cottage and then turn right okay so you've what you've done is you went round,no,no fenced meadow,so there's nae fenced meadow right,aye
105,cottage round yes,come up to the abandoned cottage skirted it,you should be round a hundred and eighty degrees around to the abandoned cottage and then turn right okay so you've what you've done is you went round,no,no fenced meadow,so there's nae fenced meadow right
106,and then turn right right,cottage round yes,come up to the abandoned cottage skirted it,you should be round a hundred and eighty degrees around to the abandoned cottage and then turn right okay so you've what you've done is you went round,no,no fenced meadow
107,right,and then turn right right,cottage round yes,come up to the abandoned cottage skirted it,you should be round a hundred and eighty degrees around to the abandoned cottage and then turn right okay so you've what you've done is you went round,no
108,verstanden,right,and then turn right right,cottage round yes,come up to the abandoned cottage skirted it,you should be round a hundred and eighty degrees around to the abandoned cottage and then turn right okay so you've what you've done is you went round
109,i'll keep it english,verstanden,right,and then turn right right,cottage round yes,come up to the abandoned cottage skirted it
110,right,i'll keep it english,verstanden,right,and then turn right right,cottage round yes
111,okay,right,i'll keep it english,verstanden,right,and then turn right right
112,uh-huh so i turn right by the abandoned cottage,okay,right,i'll keep it english,verstanden,right
113,cottage,uh-huh so i turn right by the abandoned cottage,okay,right,i'll keep it english,verstanden
114,okay,cottage,uh-huh so i turn right by the abandoned cottage,okay,right,i'll keep it english
115,now you're going along,okay,cottage,uh-huh so i turn right by the abandoned cottage,okay,right
116,uh-huh,now you're going along,okay,cottage,uh-huh so i turn right by the abandoned cottage,okay
117,and then you turn up right again and you keep going until you find a lake,uh-huh,now you're going along,okay,cottage,uh-huh so i turn right by the abandoned cottage
118,wait a minute sure i don't turn left,and then you turn up right again and you keep going until you find a lake,uh-huh,now you're going along,okay,cottage
119,what you mean turn left,wait a minute sure i don't turn left,and then you turn up right again and you keep going until you find a lake,uh-huh,now you're going along,okay
120,if i turn right by the abandoned cottage that means i'm heading that way,what you mean turn left,wait a minute sure i don't turn left,and then you turn up right again and you keep going until you find a lake,uh-huh,now you're going along
121,i cannae see your hands fae here,if i turn right by the abandoned cottage that means i'm heading that way,what you mean turn left,wait a minute sure i don't turn left,and then you turn up right again and you keep going until you find a lake,uh-huh
122,no you cannae i shouldnae be doing that anyway,i cannae see your hands fae here,if i turn right by the abandoned cottage that means i'm heading that way,what you mean turn left,wait a minute sure i don't turn left,and then you turn up right again and you keep going until you find a lake
123,uh-huh i know,no you cannae i shouldnae be doing that anyway,i cannae see your hands fae here,if i turn right by the abandoned cottage that means i'm heading that way,what you mean turn left,wait a minute sure i don't turn left
124,but i'm heading towards the edge of the map,uh-huh i know,no you cannae i shouldnae be doing that anyway,i cannae see your hands fae here,if i turn right by the abandoned cottage that means i'm heading that way,what you mean turn left
125,which you are you heading towards your left-hand edge of the map,but i'm heading towards the edge of the map,uh-huh i know,no you cannae i shouldnae be doing that anyway,i cannae see your hands fae here,if i turn right by the abandoned cottage that means i'm heading that way
126,my right-hand edge of the map,which you are you heading towards your left-hand edge of the map,but i'm heading towards the edge of the map,uh-huh i know,no you cannae i shouldnae be doing that anyway,i cannae see your hands fae here
127,yes your right-hand edge my left-hand edge,my right-hand edge of the map,which you are you heading towards your left-hand edge of the map,but i'm heading towards the edge of the map,uh-huh i know,no you cannae i shouldnae be doing that anyway
128,this edge here,yes your right-hand edge my left-hand edge,my right-hand edge of the map,which you are you heading towards your left-hand edge of the map,but i'm heading towards the edge of the map,uh-huh i know
129,oh,this edge here,yes your right-hand edge my left-hand edge,my right-hand edge of the map,which you are you heading towards your left-hand edge of the map,but i'm heading towards the edge of the map
130,right aye well it's it's the difference between right and left i think,oh,this edge here,yes your right-hand edge my left-hand edge,my right-hand edge of the map,which you are you heading towards your left-hand edge of the map
131,uh-huh,right aye well it's it's the difference between right and left i think,oh,this edge here,yes your right-hand edge my left-hand edge,my right-hand edge of the map
132,uh-huh,uh-huh,right aye well it's it's the difference between right and left i think,oh,this edge here,yes your right-hand edge my left-hand edge
133,okay you're,uh-huh,uh-huh,right aye well it's it's the difference between right and left i think,oh,this edge here
134,right i've come up by the abandoned cottage right i was heading straight up the map towards the top of the blackboard,okay you're,uh-huh,uh-huh,right aye well it's it's the difference between right and left i think,oh
135,abandoned cottage yes yes,right i've come up by the abandoned cottage right i was heading straight up the map towards the top of the blackboard,okay you're,uh-huh,uh-huh,right aye well it's it's the difference between right and left i think
136,and then you told me to turn right,abandoned cottage yes yes,right i've come up by the abandoned cottage right i was heading straight up the map towards the top of the blackboard,okay you're,uh-huh,uh-huh
137,no i told you to turn left around the old abandoned cottage you turn right once you went round the cottage,and then you told me to turn right,abandoned cottage yes yes,right i've come up by the abandoned cottage right i was heading straight up the map towards the top of the blackboard,okay you're,uh-huh
138,sorry i've done it wrong i wasnae listening,no i told you to turn left around the old abandoned cottage you turn right once you went round the cottage,and then you told me to turn right,abandoned cottage yes yes,right i've come up by the abandoned cottage right i was heading straight up the map towards the top of the blackboard,okay you're
139,aye get the tippex out,sorry i've done it wrong i wasnae listening,no i told you to turn left around the old abandoned cottage you turn right once you went round the cottage,and then you told me to turn right,abandoned cottage yes yes,right i've come up by the abandoned cottage right i was heading straight up the map towards the top of the blackboard
140,right right i think we'll go back to the right before i come to the abandoned cottage,aye get the tippex out,sorry i've done it wrong i wasnae listening,no i told you to turn left around the old abandoned cottage you turn right once you went round the cottage,and then you told me to turn right,abandoned cottage yes yes
141,right you've come through the forest,right right i think we'll go back to the right before i come to the abandoned cottage,aye get the tippex out,sorry i've done it wrong i wasnae listening,no i told you to turn left around the old abandoned cottage you turn right once you went round the cottage,and then you told me to turn right
142,uh-huh,right you've come through the forest,right right i think we'll go back to the right before i come to the abandoned cottage,aye get the tippex out,sorry i've done it wrong i wasnae listening,no i told you to turn left around the old abandoned cottage you turn right once you went round the cottage
143,you see the abandoned cottage in front of you,uh-huh,right you've come through the forest,right right i think we'll go back to the right before i come to the abandoned cottage,aye get the tippex out,sorry i've done it wrong i wasnae listening
144,right,you see the abandoned cottage in front of you,uh-huh,right you've come through the forest,right right i think we'll go back to the right before i come to the abandoned cottage,aye get the tippex out
145,you go up the map past the abandoned cottage turn left,right,you see the abandoned cottage in front of you,uh-huh,right you've come through the forest,right right i think we'll go back to the right before i come to the abandoned cottage
146,oh by the by the abandoned cottage and turn left,you go up the map past the abandoned cottage turn left,right,you see the abandoned cottage in front of you,uh-huh,right you've come through the forest
147,left yes,oh by the by the abandoned cottage and turn left,you go up the map past the abandoned cottage turn left,right,you see the abandoned cottage in front of you,uh-huh
148,right i've got that i just misread you,left yes,oh by the by the abandoned cottage and turn left,you go up the map past the abandoned cottage turn left,right,you see the abandoned cottage in front of you
149,so the abandoned cottage should now be below you on the map,right i've got that i just misread you,left yes,oh by the by the abandoned cottage and turn left,you go up the map past the abandoned cottage turn left,right
150,it's aye but it's still to my left,so the abandoned cottage should now be below you on the map,right i've got that i just misread you,left yes,oh by the by the abandoned cottage and turn left,you go up the map past the abandoned cottage turn left
151,yes,it's aye but it's still to my left,so the abandoned cottage should now be below you on the map,right i've got that i just misread you,left yes,oh by the by the abandoned cottage and turn left
152,right that's fine,yes,it's aye but it's still to my left,so the abandoned cottage should now be below you on the map,right i've got that i just misread you,left yes
153,so you do that again,right that's fine,yes,it's aye but it's still to my left,so the abandoned cottage should now be below you on the map,right i've got that i just misread you
154,uh-huh,so you do that again,right that's fine,yes,it's aye but it's still to my left,so the abandoned cottage should now be below you on the map
155,you turn round to a abandoned cottage so always keeping it on your left-hand side,uh-huh,so you do that again,right that's fine,yes,it's aye but it's still to my left
156,aye,you turn round to a abandoned cottage so always keeping it on your left-hand side,uh-huh,so you do that again,right that's fine,yes
157,okay you got that much,aye,you turn round to a abandoned cottage so always keeping it on your left-hand side,uh-huh,so you do that again,right that's fine
158,mmhmm,okay you got that much,aye,you turn round to a abandoned cottage so always keeping it on your left-hand side,uh-huh,so you do that again
159,now you turn to your right should be taking you towards the edge of the paper away from the abandoned cottage,mmhmm,okay you got that much,aye,you turn round to a abandoned cottage so always keeping it on your left-hand side,uh-huh
160,it's taking me straight buh up a up a up again,now you turn to your right should be taking you towards the edge of the paper away from the abandoned cottage,mmhmm,okay you got that much,aye,you turn round to a abandoned cottage so always keeping it on your left-hand side
161,no it's no how many sides of the abandoned cottage have you past,it's taking me straight buh up a up a up again,now you turn to your right should be taking you towards the edge of the paper away from the abandoned cottage,mmhmm,okay you got that much,aye
162,passed it twice,no it's no how many sides of the abandoned cottage have you past,it's taking me straight buh up a up a up again,now you turn to your right should be taking you towards the edge of the paper away from the abandoned cottage,mmhmm,okay you got that much
163,you've passed twice should pass it again on your left,passed it twice,no it's no how many sides of the abandoned cottage have you past,it's taking me straight buh up a up a up again,now you turn to your right should be taking you towards the edge of the paper away from the abandoned cottage,mmhmm
164,right,you've passed twice should pass it again on your left,passed it twice,no it's no how many sides of the abandoned cottage have you past,it's taking me straight buh up a up a up again,now you turn to your right should be taking you towards the edge of the paper away from the abandoned cottage
165,so you've anyway after you've turned around the cottage,right,you've passed twice should pass it again on your left,passed it twice,no it's no how many sides of the abandoned cottage have you past,it's taking me straight buh up a up a up again
166,you come straight back down,so you've anyway after you've turned around the cottage,right,you've passed twice should pass it again on your left,passed it twice,no it's no how many sides of the abandoned cottage have you past
167,aye,you come straight back down,so you've anyway after you've turned around the cottage,right,you've passed twice should pass it again on your left,passed it twice
168,you said a hundred and eighty degrees should be three hundred sixty you should have said,aye,you come straight back down,so you've anyway after you've turned around the cottage,right,you've passed twice should pass it again on your left
169,oh three hundred sixty,you said a hundred and eighty degrees should be three hundred sixty you should have said,aye,you come straight back down,so you've anyway after you've turned around the cottage,right
170,right so that's that's right so i'm coming back back down the paper again,oh three hundred sixty,you said a hundred and eighty degrees should be three hundred sixty you should have said,aye,you come straight back down,so you've anyway after you've turned around the cottage
171,ah yeah back down the paper,right so that's that's right so i'm coming back back down the paper again,oh three hundred sixty,you said a hundred and eighty degrees should be three hundred sixty you should have said,aye,you come straight back down
172,uh-huh aye turn right,ah yeah back down the paper,right so that's that's right so i'm coming back back down the paper again,oh three hundred sixty,you said a hundred and eighty degrees should be three hundred sixty you should have said,aye
173,turn right now okay do you have a fenced meadow,uh-huh aye turn right,ah yeah back down the paper,right so that's that's right so i'm coming back back down the paper again,oh three hundred sixty,you said a hundred and eighty degrees should be three hundred sixty you should have said
174,no i don't have a fenced meadow,turn right now okay do you have a fenced meadow,uh-huh aye turn right,ah yeah back down the paper,right so that's that's right so i'm coming back back down the paper again,oh three hundred sixty
175,no that's right okay now we turn right again okay and you go up the map you should come to a lake,no i don't have a fenced meadow,turn right now okay do you have a fenced meadow,uh-huh aye turn right,ah yeah back down the paper,right so that's that's right so i'm coming back back down the paper again
176,uh-huh,no that's right okay now we turn right again okay and you go up the map you should come to a lake,no i don't have a fenced meadow,turn right now okay do you have a fenced meadow,uh-huh aye turn right,ah yeah back down the paper
177,okay you got the lake,uh-huh,no that's right okay now we turn right again okay and you go up the map you should come to a lake,no i don't have a fenced meadow,turn right now okay do you have a fenced meadow,uh-huh aye turn right
178,there's two lakes i've got a lake right,okay you got the lake,uh-huh,no that's right okay now we turn right again okay and you go up the map you should come to a lake,no i don't have a fenced meadow,turn right now okay do you have a fenced meadow
179,you've got a lake now you skirt around the inside side of the lake that's side of the lake that is nearest to the middle of the map,there's two lakes i've got a lake right,okay you got the lake,uh-huh,no that's right okay now we turn right again okay and you go up the map you should come to a lake,no i don't have a fenced meadow
180,uh-huh,you've got a lake now you skirt around the inside side of the lake that's side of the lake that is nearest to the middle of the map,there's two lakes i've got a lake right,okay you got the lake,uh-huh,no that's right okay now we turn right again okay and you go up the map you should come to a lake
181,okay you should see a trig point do you see,uh-huh,you've got a lake now you skirt around the inside side of the lake that's side of the lake that is nearest to the middle of the map,there's two lakes i've got a lake right,okay you got the lake,uh-huh
182,no i don't have any trig points,okay you should see a trig point do you see,uh-huh,you've got a lake now you skirt around the inside side of the lake that's side of the lake that is nearest to the middle of the map,there's two lakes i've got a lake right,okay you got the lake
183,you don't have a trig point,no i don't have any trig points,okay you should see a trig point do you see,uh-huh,you've got a lake now you skirt around the inside side of the lake that's side of the lake that is nearest to the middle of the map,there's two lakes i've got a lake right
184,no,you don't have a trig point,no i don't have any trig points,okay you should see a trig point do you see,uh-huh,you've got a lake now you skirt around the inside side of the lake that's side of the lake that is nearest to the middle of the map
185,okay er the lake should have a a bulge in it just at the top,no,you don't have a trig point,no i don't have any trig points,okay you should see a trig point do you see,uh-huh
186,aye,okay er the lake should have a a bulge in it just at the top,no,you don't have a trig point,no i don't have any trig points,okay you should see a trig point do you see
187,uh we turn right there at that bulge okay since you don't have a trig point we'll use that instead,aye,okay er the lake should have a a bulge in it just at the top,no,you don't have a trig point,no i don't have any trig points
188,uh-huh,uh we turn right there at that bulge okay since you don't have a trig point we'll use that instead,aye,okay er the lake should have a a bulge in it just at the top,no,you don't have a trig point
189,turn right now go diagonally down towards the not a steep diagonal towards the middle,uh-huh,uh we turn right there at that bulge okay since you don't have a trig point we'll use that instead,aye,okay er the lake should have a a bulge in it just at the top,no
190,uh-huh,turn right now go diagonally down towards the not a steep diagonal towards the middle,uh-huh,uh we turn right there at that bulge okay since you don't have a trig point we'll use that instead,aye,okay er the lake should have a a bulge in it just at the top
191,edge of the map,uh-huh,turn right now go diagonally down towards the not a steep diagonal towards the middle,uh-huh,uh we turn right there at that bulge okay since you don't have a trig point we'll use that instead,aye
192,right,edge of the map,uh-huh,turn right now go diagonally down towards the not a steep diagonal towards the middle,uh-huh,uh we turn right there at that bulge okay since you don't have a trig point we'll use that instead
193,okay now should come to a do you have a monument,right,edge of the map,uh-huh,turn right now go diagonally down towards the not a steep diagonal towards the middle,uh-huh
194,i have a monument,okay now should come to a do you have a monument,right,edge of the map,uh-huh,turn right now go diagonally down towards the not a steep diagonal towards the middle
195,go round the monument keeping the monument always on your left,i have a monument,okay now should come to a do you have a monument,right,edge of the map,uh-huh
196,always on my left,go round the monument keeping the monument always on your left,i have a monument,okay now should come to a do you have a monument,right,edge of the map
197,yes,always on my left,go round the monument keeping the monument always on your left,i have a monument,okay now should come to a do you have a monument,right
198,right,yes,always on my left,go round the monument keeping the monument always on your left,i have a monument,okay now should come to a do you have a monument
199,go up past the monument,right,yes,always on my left,go round the monument keeping the monument always on your left,i have a monument
200,right round it,go up past the monument,right,yes,always on my left,go round the monument keeping the monument always on your left
201,no just up so that you're you're coming away from it up towards the top of the paper,right round it,go up past the monument,right,yes,always on my left
202,aye got that,no just up so that you're you're coming away from it up towards the top of the paper,right round it,go up past the monument,right,yes
203,okay you keep going up there,aye got that,no just up so that you're you're coming away from it up towards the top of the paper,right round it,go up past the monument,right
204,uh-huh,okay you keep going up there,aye got that,no just up so that you're you're coming away from it up towards the top of the paper,right round it,go up past the monument
205,now do you see a nuclear test site,uh-huh,okay you keep going up there,aye got that,no just up so that you're you're coming away from it up towards the top of the paper,right round it
206,no i don't see a nuclear test site,now do you see a nuclear test site,uh-huh,okay you keep going up there,aye got that,no just up so that you're you're coming away from it up towards the top of the paper
207,okay keep going 'til you find a lake,no i don't see a nuclear test site,now do you see a nuclear test site,uh-huh,okay you keep going up there,aye got that
