,Speaker,Utterance,Unified
5,A,"Uh, very good.","A|Uh, very good."
32,M,"!!!%!! Remind me.!!!!!clamation!!ety!! Auto!!action!!?!! alerted!! This!!Okay!!You!!This!!I!!Your!!O!!That!!Yeah!!And!!The!!!,!!;!!!:!!!'!!We!!Well!!'!!If!!Did!!They!!It!!Oh!!How!!Because!!Have!!Is!!A!!sv!! animation!!est!!%%!! exists!!.! Rem!!Right!!To!!roup!!But!!eting!!Uh!!All!!Same!!ctic!!So!!My!!One!!Now!!See!!What!!Me!! safely!! LINE!!Big!!two!!ool!! Wild!!Who!!Another!!Let!!There!!Good!!Huh!! Another!!Wow!!Nice!!Hi!!Two!!Are!!Do!! rem!!Give!! ab!!et!!IV!!Great!!Um!!L!!Yellow!!By!! translated!!body!!Thanks!! logical!!Hello!! hello!!Just!!Can!!P!!ual!!it!! Hello!!Not!!>!!ape!!you!!style!!Take!! equality!!book!!Better!! grandma!!Enjoy!!husband!! Ukraine!! holy!!As!! Hungary!!In!! mailbox!!place!!Work!!Hey!!Thank!! What!! NATO!!Absolutely!! Margaret!!box!!Put!!R!!=!!!!!!!and!!work!!IAL!! Hungarian!!ness!! =!! Mongolia!!ival!!!""!!ERN!!!.!!atic!!iveness!!ork!!ist!!--!!orial!!list!! Tokyo!! YOUR!!ists!!2017!!en!! Unless!! anyone!!aving!!ial!!aken!!<!! Hitler!! wished!! Aut!!Sometimes!!this!!Finally!! When!! decor!!irling!!Unfortunately!!atter!!itude!! Thank!!rial!! There!! Your!!pieces!! handwriting!! The!!heres!!hesis!! That!! elements!!eways!! undo!!lt!! ours!! <!! You!!arn!! Bent!!oo!!An!!ired!!ets!!BOOK!!w!!ee!! element!!ivan!!ip!! THIS!!ips!!,!! arrive!!or!! ordinary!! relations!! lover!!ok!!ties!!because!!ENT!! Even!! perfection!!","M|!!!%!! Remind me.!!!!!clamation!!ety!! Auto!!action!!?!! alerted!! This!!Okay!!You!!This!!I!!Your!!O!!That!!Yeah!!And!!The!!!,!!;!!!:!!!'!!We!!Well!!'!!If!!Did!!They!!It!!Oh!!How!!Because!!Have!!Is!!A!!sv!! animation!!est!!%%!! exists!!.! Rem!!Right!!To!!roup!!But!!eting!!Uh!!All!!Same!!ctic!!So!!My!!One!!Now!!See!!What!!Me!! safely!! LINE!!Big!!two!!ool!! Wild!!Who!!Another!!Let!!There!!Good!!Huh!! Another!!Wow!!Nice!!Hi!!Two!!Are!!Do!! rem!!Give!! ab!!et!!IV!!Great!!Um!!L!!Yellow!!By!! translated!!body!!Thanks!! logical!!Hello!! hello!!Just!!Can!!P!!ual!!it!! Hello!!Not!!>!!ape!!you!!style!!Take!! equality!!book!!Better!! grandma!!Enjoy!!husband!! Ukraine!! holy!!As!! Hungary!!In!! mailbox!!place!!Work!!Hey!!Thank!! What!! NATO!!Absolutely!! Margaret!!box!!Put!!R!!=!!!!!!!and!!work!!IAL!! Hungarian!!ness!! =!! Mongolia!!ival!!!""!!ERN!!!.!!atic!!iveness!!ork!!ist!!--!!orial!!list!! Tokyo!! YOUR!!ists!!2017!!en!! Unless!! anyone!!aving!!ial!!aken!!<!! Hitler!! wished!! Aut!!Sometimes!!this!!Finally!! When!! decor!!irling!!Unfortunately!!atter!!itude!! Thank!!rial!! There!! Your!!pieces!! handwriting!! The!!heres!!hesis!! That!! elements!!eways!! undo!!lt!! ours!! <!! You!!arn!! Bent!!oo!!An!!ired!!ets!!BOOK!!w!!ee!! element!!ivan!!ip!! THIS!!ips!!,!! arrive!!or!! ordinary!! relations!! lover!!ok!!ties!!because!!ENT!! Even!! perfection!!"
33,A,No.,A|No.
34,M,"Okay, I don't know if you're familiar with Philadelphia, but","M|Okay, I don't know if you're familiar with Philadelphia, but"
35,A,"Oh, really.","A|Oh, really."
36,M,"Yeah, I don't know what the other one is.","M|Yeah, I don't know what the other one is."
37,A,"No, I don't know that. But, I, I must say, that, um, when, when I did do a linguistics course in, in school, ages ago, um, the professor had a lot of trouble with my accent.","A|No, I don't know that. But, I, I must say, that, um, when, when I did do a linguistics course in, in school, ages ago, um, the professor had a lot of trouble with my accent."
38,M,Uh-huh.,M|Uh-huh.
39,A,"And it's probably because I, I, I was born in the Chicago area and grew up in California, and at that point that was sort of the limit but since then I've been abroad a lot,","A|And it's probably because I, I, I was born in the Chicago area and grew up in California, and at that point that was sort of the limit but since then I've been abroad a lot,"
40,M,Huh-uh.,M|Huh-uh.
41,A,In Santa Barbara.,A|In Santa Barbara.
42,M,"Oh, really?","M|Oh, really?"
43,A,"Oh, I see. Uh-huh. Well, very good, I think we've probably know, know each other's exercise habits","A|Oh, I see. Uh-huh. Well, very good, I think we've probably know, know each other's exercise habits"
44,M,Uh-hue.,M|Uh-hue.
45,A,"and, uh, it was nice talking to you.","A|and, uh, it was nice talking to you."
46,M,"!!!% Well, it's been nice talking with you. I appreciate it.","M|!!!% Well, it's been nice talking with you. I appreciate it."
47,A,"Oh, okay.","A|Oh, okay."
48,M,Bye-bye.,M|Bye-bye.
49,A,Bye-bye.,A|Bye-bye.
