,Speaker,Utterance,Unified
128,g,sort of see where that is right imagine the finish is there draw roughly down to there,g|sort of see where that is right imagine the finish is there draw roughly down to there
129,M,right okay,M|right okay
130,g,it would be just just near mmhmm but you just right near the end of the page,g|it would be just just near mmhmm but you just right near the end of the page
131,M,yeah,M|yeah
132,g,yeah uh-huh,g|yeah uh-huh
133,M,right,M|right
134,g,no no not to the right,g|no no not to the right
135,M,oh right okay right,M|oh right okay right
136,g,no,g|no
137,M,right okay go down about an inch and then curve round the side of the missionary camp,M|right okay go down about an inch and then curve round the side of the missionary camp
138,g,the left you've you've drawn above pebbled shore,g|the left you've you've drawn above pebbled shore
139,M,uh-huh,M|uh-huh
140,g,well just draw in a diagonal to your left,g|well just draw in a diagonal to your left
141,M,right okay,M|right okay
142,g,mmhmm right quite far down,g|mmhmm right quite far down
143,M,right okay,M|right okay
144,g,and then,g|and then
145,M,"!!!>]!!'!!!'!!""!!,!!8!!4!!6!!7!!","M|!!!>]!!'!!!'!!""!!,!!8!!4!!6!!7!!"
146,g,well i want you to avoid that,g|well i want you to avoid that
147,M,so i'm going up and then across,M|so i'm going up and then across
148,g,and go uh-huh no well i don't know where's your where's your washed stones,g|and go uh-huh no well i don't know where's your where's your washed stones
149,M,i've not got washed,M|i've not got washed
150,g,well that's okay just draw round it and past it,g|well that's okay just draw round it and past it
151,M,right,M|right
152,g,yeah,g|yeah
153,M,"!!!!,!!'!!!'!!""!! Rem!!okay!!there!!","M|!!!!,!!'!!!'!!""!! Rem!!okay!!there!!"
154,g,and then the finish is just ehm on a horizontal with the flagship near to the coast about a centimetre away from the coast,g|and then the finish is just ehm on a horizontal with the flagship near to the coast about a centimetre away from the coast
155,M,okay,M|okay
156,g,mmhmm,g|mmhmm
157,M,right so you've got a a a wee cross then that that's it finished,M|right so you've got a a a wee cross then that that's it finished
158,g,okay,g|okay
159,M,right and then we're going to go straight along to the finish,M|right and then we're going to go straight along to the finish
160,g,is that just beside the flagship yeah,g|is that just beside the flagship yeah
161,M,yeah,M|yeah
162,g,okay,g|okay
163,M,and then do you have a great viewpoint just underneath the east lake,M|and then do you have a great viewpoint just underneath the east lake
