,response,context,context/0,context/1,context/2,context/3
26,There's not much time left.,"Five minutes, oh, okay.","Oh, close to five minutes, I believe.","The other thing then is, because I don't know how long they want us to talk,","I'm sorry for these beeps,","Oh, okay, we'll try to be real quick here."
27,"I don't understand, are you in the room?","And you're in Minneapolis,","Five minutes, oh, okay.","Oh, close to five minutes, I believe.","The other thing then is, because I don't know how long they want us to talk,","I'm sorry for these beeps,"
28,What's the other thing?,"Minneapolis area,","And you're in Minneapolis,","Five minutes, oh, okay.","Oh, close to five minutes, I believe.","The other thing then is, because I don't know how long they want us to talk,"
29,There's a lot of pollution down there,"Well, is the pollution really bad up there?","Minneapolis area,","And you're in Minneapolis,","Five minutes, oh, okay.","Oh, close to five minutes, I believe."
30,What is your problem?,"Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season","Well, is the pollution really bad up there?","Minneapolis area,","And you're in Minneapolis,","Five minutes, oh, okay."
31,I know.,Uh-huh. Uh-huh.,"Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season","Well, is the pollution really bad up there?","Minneapolis area,","And you're in Minneapolis,"
32,"What are we, a country?","you get some pollutants such as those, but those are natural",Uh-huh. Uh-huh.,"Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season","Well, is the pollution really bad up there?","Minneapolis area,"
33,And there's no pollution.,Yeah,"you get some pollutants such as those, but those are natural",Uh-huh. Uh-huh.,"Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season","Well, is the pollution really bad up there?"
34,,"um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,",Yeah,"you get some pollutants such as those, but those are natural",Uh-huh. Uh-huh.,"Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season"
35,Yay! Another day of being,Uh-huh. Uh-huh. Uh-huh. Uh-huh.,"um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,",Yeah,"you get some pollutants such as those, but those are natural",Uh-huh. Uh-huh.
36,h,"and if that's the case, then you have to get your car fixed,",Uh-huh. Uh-huh. Uh-huh. Uh-huh.,"um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,",Yeah,"you get some pollutants such as those, but those are natural"
37,I think you,Well that's the way it has gotten here.,"and if that's the case, then you have to get your car fixed,",Uh-huh. Uh-huh. Uh-huh. Uh-huh.,"um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,",Yeah
38,I don't think I'm gonna be able to drive home for the rest of the night.,at least where you.,Well that's the way it has gotten here.,"and if that's the case, then you have to get your car fixed,",Uh-huh. Uh-huh. Uh-huh. Uh-huh.,"um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,"
39,"I don't know, I'm from the UK and I've never seen a single thing about it.","We have just had that law, I think, about a year, maybe a year and a half here in Texas",at least where you.,Well that's the way it has gotten here.,"and if that's the case, then you have to get your car fixed,",Uh-huh. Uh-huh. Uh-huh. Uh-huh.
40,you're saying you'd be ok with that?,"Sure, yeah,","We have just had that law, I think, about a year, maybe a year and a half here in Texas",at least where you.,Well that's the way it has gotten here.,"and if that's the case, then you have to get your car fixed,"
41,I think it would be a good policy.,"but, uh, I think it's a good idea because a lot of people still want to drive the older cars which you can't blame them for that","Sure, yeah,","We have just had that law, I think, about a year, maybe a year and a half here in Texas",at least where you.,Well that's the way it has gotten here.
42,"That's a pretty good idea, I think I might do it.","Yeah, it's not a bad idea. Uh-huh. Sure, sure,","but, uh, I think it's a good idea because a lot of people still want to drive the older cars which you can't blame them for that","Sure, yeah,","We have just had that law, I think, about a year, maybe a year and a half here in Texas",at least where you.
43,"No, it's just a bad solution.","and, uh, but if they are polluting the air, they need, do need to have them fixed","Yeah, it's not a bad idea. Uh-huh. Sure, sure,","but, uh, I think it's a good idea because a lot of people still want to drive the older cars which you can't blame them for that","Sure, yeah,","We have just had that law, I think, about a year, maybe a year and a half here in Texas"
44,"Well, the car was designed for air pollution so, no, it's probably not a good design.","Exactly,","and, uh, but if they are polluting the air, they need, do need to have them fixed","Yeah, it's not a bad idea. Uh-huh. Sure, sure,","but, uh, I think it's a good idea because a lot of people still want to drive the older cars which you can't blame them for that","Sure, yeah,"
45,I think so,"and you know, there's a big move, especially in the industrial part in Texas right now of controlling the C F C that the big manufacturing companies are producing into the air they're having to change the type of products they use","Exactly,","and, uh, but if they are polluting the air, they need, do need to have them fixed","Yeah, it's not a bad idea. Uh-huh. Sure, sure,","but, uh, I think it's a good idea because a lot of people still want to drive the older cars which you can't blame them for that"
46,"Yeah, and they are making the stuff in the air.",Uh-huh. Sure. Uh-huh.,"and you know, there's a big move, especially in the industrial part in Texas right now of controlling the C F C that the big manufacturing companies are producing into the air they're having to change the type of products they use","Exactly,","and, uh, but if they are polluting the air, they need, do need to have them fixed","Yeah, it's not a bad idea. Uh-huh. Sure, sure,"
47,I guess they can just build a new one with a few more people.,"uh, they can't use, like, I have a friend that's in the air conditioning heating business",Uh-huh. Sure. Uh-huh.,"and you know, there's a big move, especially in the industrial part in Texas right now of controlling the C F C that the big manufacturing companies are producing into the air they're having to change the type of products they use","Exactly,","and, uh, but if they are polluting the air, they need, do need to have them fixed"
48,I can't even.,Uh-huh.,"uh, they can't use, like, I have a friend that's in the air conditioning heating business",Uh-huh. Sure. Uh-huh.,"and you know, there's a big move, especially in the industrial part in Texas right now of controlling the C F C that the big manufacturing companies are producing into the air they're having to change the type of products they use","Exactly,"
49,uhhhh. you're not gonna get away with this.,and they have to pay a penalty for every ounce or pound of this certain type of freon that they use in the air conditioning systems,Uh-huh.,"uh, they can't use, like, I have a friend that's in the air conditioning heating business",Uh-huh. Sure. Uh-huh.,"and you know, there's a big move, especially in the industrial part in Texas right now of controlling the C F C that the big manufacturing companies are producing into the air they're having to change the type of products they use"
50,"Uhh, they can just use a certain type that they have a lot of money to buy.",Sure.,and they have to pay a penalty for every ounce or pound of this certain type of freon that they use in the air conditioning systems,Uh-huh.,"uh, they can't use, like, I have a friend that's in the air conditioning heating business",Uh-huh. Sure. Uh-huh.
51,I'm pretty sure the costs of replacing a broken unit is covered by the warranty.,"therefore, the individual, every time they have a service call, if they have an old unit that's still using this twenty-two freon or whatever it is, it costs them three times as much to get it fixed",Sure.,and they have to pay a penalty for every ounce or pound of this certain type of freon that they use in the air conditioning systems,Uh-huh.,"uh, they can't use, like, I have a friend that's in the air conditioning heating business"
52,you can get a free unit of freons for a dollar.,Uh-huh. Sure.,"therefore, the individual, every time they have a service call, if they have an old unit that's still using this twenty-two freon or whatever it is, it costs them three times as much to get it fixed",Sure.,and they have to pay a penalty for every ounce or pound of this certain type of freon that they use in the air conditioning systems,Uh-huh.
53,,"and, uh, if you have a new high efficiency system that uses the new type of freons that do not release as many C F C into the atmosphere it doesn't cost as much so eventually people are going to have to go to newer systems, you know,",Uh-huh. Sure.,"therefore, the individual, every time they have a service call, if they have an old unit that's still using this twenty-two freon or whatever it is, it costs them three times as much to get it fixed",Sure.,and they have to pay a penalty for every ounce or pound of this certain type of freon that they use in the air conditioning systems
54,"And, uh, if you",Uh-huh. Yeah. Sure,"and, uh, if you have a new high efficiency system that uses the new type of freons that do not release as many C F C into the atmosphere it doesn't cost as much so eventually people are going to have to go to newer systems, you know,",Uh-huh. Sure.,"therefore, the individual, every time they have a service call, if they have an old unit that's still using this twenty-two freon or whatever it is, it costs them three times as much to get it fixed",Sure.
55,It's like the Freon,"But,",Uh-huh. Yeah. Sure,"and, uh, if you have a new high efficiency system that uses the new type of freons that do not release as many C F C into the atmosphere it doesn't cost as much so eventually people are going to have to go to newer systems, you know,",Uh-huh. Sure.,"therefore, the individual, every time they have a service call, if they have an old unit that's still using this twenty-two freon or whatever it is, it costs them three times as much to get it fixed"
56,"Uhh, no, it's not.","uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it","But,",Uh-huh. Yeah. Sure,"and, uh, if you have a new high efficiency system that uses the new type of freons that do not release as many C F C into the atmosphere it doesn't cost as much so eventually people are going to have to go to newer systems, you know,",Uh-huh. Sure.
57,"Yeah, uh, I'm sorry.",Uh-huh. Right.,"uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it","But,",Uh-huh. Yeah. Sure,"and, uh, if you have a new high efficiency system that uses the new type of freons that do not release as many C F C into the atmosphere it doesn't cost as much so eventually people are going to have to go to newer systems, you know,"
58,Uhhuhuhuh. I don't know.,but it's uncomfortable,Uh-huh. Right.,"uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it","But,",Uh-huh. Yeah. Sure
59,uhhhh. yes,Uh-huh.,but it's uncomfortable,Uh-huh. Right.,"uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it","But,"
60,I'm pretty sure that's the case.,"but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,",Uh-huh.,but it's uncomfortable,Uh-huh. Right.,"uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it"
61,"uhhh, yeah, uh, but...",Um.,"but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,",Uh-huh.,but it's uncomfortable,Uh-huh. Right.
62,It's okay.,"and, I don't know if there was something wrong with it, or it, his directions weren't quite fully instructed onto that,",Um.,"but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,",Uh-huh.,but it's uncomfortable
63,"Uuh, why?",Uh-huh.,"and, I don't know if there was something wrong with it, or it, his directions weren't quite fully instructed onto that,",Um.,"but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,",Uh-huh.
64,"Uhh, how many people have you had to work with?",and I was thinking how many other people,Uh-huh.,"and, I don't know if there was something wrong with it, or it, his directions weren't quite fully instructed onto that,",Um.,"but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,"
65,"Yeah, I know, but I don t know if it has happened to other people.","It's probably happened to millions of people,",and I was thinking how many other people,Uh-huh.,"and, I don't know if there was something wrong with it, or it, his directions weren't quite fully instructed onto that,",Um.
66,It was the first thing I thought of.,"oh, sure, because if you take it into a service station, they want to charge you forty dollars just for, uh, freon, which only costs you about three dollars","It's probably happened to millions of people,",and I was thinking how many other people,Uh-huh.,"and, I don't know if there was something wrong with it, or it, his directions weren't quite fully instructed onto that,"
67,"It is in fact, the only thing that is not free is the service station.",Uh-huh. Uh-huh.,"oh, sure, because if you take it into a service station, they want to charge you forty dollars just for, uh, freon, which only costs you about three dollars","It's probably happened to millions of people,",and I was thinking how many other people,Uh-huh.
68,So I have that feeling that the freon price will increase...,"so I have this feeling that freon probably will increase in price because it is something that people will have to take into consideration and say, Hey, that's that's right there.",Uh-huh. Uh-huh.,"oh, sure, because if you take it into a service station, they want to charge you forty dollars just for, uh, freon, which only costs you about three dollars","It's probably happened to millions of people,",and I was thinking how many other people
69,u ronan I've got a feeling that it's gonna increase in value.,Uh-huh,"so I have this feeling that freon probably will increase in price because it is something that people will have to take into consideration and say, Hey, that's that's right there.",Uh-huh. Uh-huh.,"oh, sure, because if you take it into a service station, they want to charge you forty dollars just for, uh, freon, which only costs you about three dollars","It's probably happened to millions of people,"
70,"I'll have to check when I get home, but I think it'll be around three or five dollars.","I think it's like three or four dollars a, a can",Uh-huh,"so I have this feeling that freon probably will increase in price because it is something that people will have to take into consideration and say, Hey, that's that's right there.",Uh-huh. Uh-huh.,"oh, sure, because if you take it into a service station, they want to charge you forty dollars just for, uh, freon, which only costs you about three dollars"
71,"Well, you can get it for a dollar, so...",Yeah.,"I think it's like three or four dollars a, a can",Uh-huh,"so I have this feeling that freon probably will increase in price because it is something that people will have to take into consideration and say, Hey, that's that's right there.",Uh-huh. Uh-huh.
72,That's the joke.,"and it takes about four to five cans to fill up a air conditioning unit in a car, and I, I thought about that, and my husband even was kind of woozy after that because I'm sure he breathed it",Yeah.,"I think it's like three or four dollars a, a can",Uh-huh,"so I have this feeling that freon probably will increase in price because it is something that people will have to take into consideration and say, Hey, that's that's right there."
73,You're supposed to inhale it.,"Inhaled so much of it, uh-huh.","and it takes about four to five cans to fill up a air conditioning unit in a car, and I, I thought about that, and my husband even was kind of woozy after that because I'm sure he breathed it",Yeah.,"I think it's like three or four dollars a, a can",Uh-huh
74,"But it's not an airplane, it's a fuel tanker.","but, uh, you think about that, all the people that are using freon and things like that","Inhaled so much of it, uh-huh.","and it takes about four to five cans to fill up a air conditioning unit in a car, and I, I thought about that, and my husband even was kind of woozy after that because I'm sure he breathed it",Yeah.,"I think it's like three or four dollars a, a can"
75,m,"Yeah, well, of course in the, uh, I think you probably noticed in the discount stores and places, in the hair sprays we're not seeing as many aerosol cans down here nearly everything is in the pump squirt,","but, uh, you think about that, all the people that are using freon and things like that","Inhaled so much of it, uh-huh.","and it takes about four to five cans to fill up a air conditioning unit in a car, and I, I thought about that, and my husband even was kind of woozy after that because I'm sure he breathed it",Yeah.
