,response,context,context/0,context/1,context/2,context/3
37,I'll be on in about 2 hours,i'm going north,right on my map there's a slate mountain you're traveling north,mmhmm,don't go round about it just go up before it,mmhmm
38,where are you heading?,right now have you got the hot wells,i'm going north,right on my map there's a slate mountain you're traveling north,mmhmm,don't go round about it just go up before it
39,what about the hot springs?,they're over a bit,right now have you got the hot wells,i'm going north,right on my map there's a slate mountain you're traveling north,mmhmm
40,and the same goes for the hot springs.,or hot springs,they're over a bit,right now have you got the hot wells,i'm going north,right on my map there's a slate mountain you're traveling north
41,the whole thing is over a lot,they're over to the west a bit,or hot springs,they're over a bit,right now have you got the hot wells,i'm going north
42,I love how they've just left the Hot Wells.,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit,or hot springs,they're over a bit,right now have you got the hot wells
43,"right, so you're going to be going to the bottom of the volcano?",right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit,or hot springs,they're over a bit
44,the north,and turn to your the west,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit,or hot springs
45,you need to turn the compass south,right so i'm going above them,and turn to your the west,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit
46,right till you get a little bit of elevation,until you get to the hot wells,right so i'm going above them,and turn to your the west,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it
47,Until you get there,right,until you get to the hot wells,right so i'm going above them,and turn to your the west,right
48,they are too hot,no don't go over the top of them,right,until you get to the hot wells,right so i'm going above them,and turn to your the west
49,the bottom is the bottom of the line,right i'll go up to them,no don't go over the top of them,right,until you get to the hot wells,right so i'm going above them
50,the only way to do it,alright now and come down below them,right i'll go up to them,no don't go over the top of them,right,until you get to the hot wells
51,on the bottom?,underneath them,alright now and come down below them,right i'll go up to them,no don't go over the top of them,right
52,go north,mmhmm until you just get past them then come down to them south,underneath them,alright now and come down below them,right i'll go up to them,no don't go over the top of them
53,south or north?,south,mmhmm until you just get past them then come down to them south,underneath them,alright now and come down below them,right i'll go up to them
54,just south,just a a couple of inches and then west,south,mmhmm until you just get past them then come down to them south,underneath them,alright now and come down below them
55,You're gonna be a couple more inches then,mmhmm underneath the elephants,just a a couple of inches and then west,south,mmhmm until you just get past them then come down to them south,underneath them
56,mmhhmm south,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants,just a a couple of inches and then west,south,mmhmm until you just get past them then come down to them south
57,i was thinking about that but i wanted to make sure you were aware of the location.,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants,just a a couple of inches and then west,south
58,i dont think so,right you want to go right up north,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants,just a a couple of inches and then west
59,Mmmhmmm,mmhmm,right you want to go right up north,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants
60,mmhhmm it has a good reputation,past it,mmhmm,right you want to go right up north,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain
61,it's down,past the top of it,past it,mmhmm,right you want to go right up north,mmhmm it's up a bit
62,Mmmhmmm,right up above it,past the top of it,past it,mmhmm,right you want to go right up north
63,Right below it,right,right up above it,past the top of it,past it,mmhmm
64,right where you want them,right have you got the lake,right,right up above it,past the top of it,past it
65,have you got a lake,no,right have you got the lake,right,right up above it,past the top of it
66,mm have you seen the lake?,mm-mm,no,right have you got the lake,right,right up above it
67,to who,to the no,mm-mm,no,right have you got the lake,right
68,what do you mean,the roman baths,to the no,mm-mm,no,right have you got the lake
69,to bath,no,the roman baths,to the no,mm-mm,no
70,m'lady ',hmm antelopes,no,the roman baths,to the no,mm-mm
71,"No, that's the Roman Empire.",mm they're over to the east of the mountain,hmm antelopes,no,the roman baths,to the no
72,I don't know what you're talking about.,right you want to go sure you don't have a lake,mm they're over to the east of the mountain,hmm antelopes,no,the roman baths
73,"yes, they're a couple of hundred meters away",no beside this no,right you want to go sure you don't have a lake,mm they're over to the east of the mountain,hmm antelopes,no
74,right where,no but right the way over,no beside this no,right you want to go sure you don't have a lake,mm they're over to the east of the mountain,hmm antelopes
75,right meow,right over to the east again,no but right the way over,no beside this no,right you want to go sure you don't have a lake,mm they're over to the east of the mountain
76,yea right go right over,aye right go up to about the the level with the bottom of the lake,right over to the east again,no but right the way over,no beside this no,right you want to go sure you don't have a lake
77,what level is the lake?,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake,right over to the east again,no but right the way over,no beside this no
78,on the top of the mountain,straight north to up to the level with the bottom of the lake,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake,right over to the east again,no but right the way over
79,where do you want to go?,alright,straight north to up to the level with the bottom of the lake,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake,right over to the east again
80,"yeah, just keep walking north till you get south",and then east 'til you get to the front of the lake,alright,straight north to up to the level with the bottom of the lake,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake
81,you're going to get shot,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake,alright,straight north to up to the level with the bottom of the lake,level with the bottom of the lake
82,is it possible to go east of the ice?,no,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake,alright,straight north to up to the level with the bottom of the lake
83,i mean i'm pretty sure it's not gonna be any more than that,right,no,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake,alright
84,yes and no,and you want to go right round about the lake,right,no,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake
85,the rock,up above it,and you want to go right round about the lake,right,no,i'm i'm going to hit the round rocks no
86,i'll come back,mmhmm and come back round on yourself 'til you get to,up above it,and you want to go right round about the lake,right,no
87,"I'm not sure what that means, but it's nice to know that you know what I mean.",something like circle right round it,mmhmm and come back round on yourself 'til you get to,up above it,and you want to go right round about the lake,right
88,yeah right,mmhmm right got your antelopes,something like circle right round it,mmhmm and come back round on yourself 'til you get to,up above it,and you want to go right round about the lake
89,u want me to put it in the corner,uh-huh,mmhmm right got your antelopes,something like circle right round it,mmhmm and come back round on yourself 'til you get to,up above it
90,mfw i don't have antelope,right just go round enough so you're like in a above them,uh-huh,mmhmm right got your antelopes,something like circle right round it,mmhmm and come back round on yourself 'til you get to
91,right round,right up so i'm sitting just above the antelopes,right just go round enough so you're like in a above them,uh-huh,mmhmm right got your antelopes,something like circle right round it
92,right so i am standing on a lake?,no the height above them but just below the lake but above the antelope,right up so i'm sitting just above the antelopes,right just go round enough so you're like in a above them,uh-huh,mmhmm right got your antelopes
93,it is just above antelope.,right,no the height above them but just below the lake but above the antelope,right up so i'm sitting just above the antelopes,right just go round enough so you're like in a above them,uh-huh
94,right i'll try that,right should be a roman baths below the lake,right,no the height above them but just below the lake but above the antelope,right up so i'm sitting just above the antelopes,right just go round enough so you're like in a above them
95,i have a bad feeling about this,well i havenae,right should be a roman baths below the lake,right,no the height above them but just below the lake but above the antelope,right up so i'm sitting just above the antelopes
96,ok so i'll just leave the antelopes and the antels to the left of the lake?,well on mines there is and you come between the lake and the roman baths so you'll have to avoid them,well i havenae,right should be a roman baths below the lake,right,no the height above them but just below the lake but above the antelope
97,i know i'll be here,right okay,well on mines there is and you come between the lake and the roman baths so you'll have to avoid them,well i havenae,right should be a roman baths below the lake,right
98,i'll let you know when i'm ready,and you want to come south and round the antelopes,right okay,well on mines there is and you come between the lake and the roman baths so you'll have to avoid them,well i havenae,right should be a roman baths below the lake
99,i don't understand,to the east or the west,and you want to come south and round the antelopes,right okay,well on mines there is and you come between the lake and the roman baths so you'll have to avoid them,well i havenae
100,that's where i am,to the west of the antelopes,to the east or the west,and you want to come south and round the antelopes,right okay,well on mines there is and you come between the lake and the roman baths so you'll have to avoid them
101,i think you mean east,right,to the west of the antelopes,to the east or the west,and you want to come south and round the antelopes,right okay
102,you want to go west?,ehm and go right underneath them,right,to the west of the antelopes,to the east or the west,and you want to come south and round the antelopes
103,we have to go east,mmhmm,ehm and go right underneath them,right,to the west of the antelopes,to the east or the west
104,i dont know what that means,then travel to the east just past the antelopes,mmhmm,ehm and go right underneath them,right,to the west of the antelopes
105,but the antelope,mmhmm,then travel to the east just past the antelopes,mmhmm,ehm and go right underneath them,right
106,but... what about the antelope?,that's it finished,mmhmm,then travel to the east just past the antelopes,mmhmm,ehm and go right underneath them
107,"mhm, just past antelope",just past the antelopes it's finished,that's it finished,mmhmm,then travel to the east just past the antelopes,mmhmm
108,just finished the antelope,mmhmm,just past the antelopes it's finished,that's it finished,mmhmm,then travel to the east just past the antelopes
109,its done,okay,mmhmm,just past the antelopes it's finished,that's it finished,mmhmm
