,response,context,context/0,context/1,context/2,context/3
31,"No, it's in his, um, his garden, and, and he has plants, and trees, and his, my sister has trees, so, but I don't have any, so I'm not really out of the gardening business.","Uh-huh. Well, that's nice that it's not in your house.","But he likes to have a spot to keep all of his, his piddling things.","Oh, I see.","Now, mine does not work on cars, he just piddles on this and that.","Well, sounds like our husbands have similar interests."
32,"Yeah, and, uh,",It really is.,"Uh-huh. Well, that's nice that it's not in your house.","But he likes to have a spot to keep all of his, his piddling things.","Oh, I see.","Now, mine does not work on cars, he just piddles on this and that."
33,"And I, I do like to have my eyes open and listen to music and, uh,",Uh-huh.,It really is.,"Uh-huh. Well, that's nice that it's not in your house.","But he likes to have a spot to keep all of his, his piddling things.","Oh, I see."
34,Uh.,"Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,",Uh-huh.,It really is.,"Uh-huh. Well, that's nice that it's not in your house.","But he likes to have a spot to keep all of his, his piddling things."
35,"and they would come in and tell me how to do it and I'd be like, no, this isn't really very good.",Uh-huh.,"Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,",Uh-huh.,It really is.,"Uh-huh. Well, that's nice that it's not in your house."
36,!!!;!!%!! Remind me.,"but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something.",Uh-huh.,"Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,",Uh-huh.,It really is.
37,"And, uh, they were selling it and, uh they were going to sell it to me for seventy-five,",Right.,"but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something.",Uh-huh.,"Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,",Uh-huh.
38,"Uh, I had to sell the house.",So I didn't end up with my vacant room like I had thought I would.,Right.,"but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something.",Uh-huh.,"Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,"
39,Uh-oh.,"Well, we still have a, a son and daughter in college that come home.",So I didn't end up with my vacant room like I had thought I would.,Right.,"but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something.",Uh-huh.
40,And they're really trying to start a family.,Uh-huh.,"Well, we still have a, a son and daughter in college that come home.",So I didn't end up with my vacant room like I had thought I would.,Right.,"but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something."
41,Uh.,And the other room we use as a guest bedroom because my husband's family come. His parents come and also the kids have friends who come and stay,Uh-huh.,"Well, we still have a, a son and daughter in college that come home.",So I didn't end up with my vacant room like I had thought I would.,Right.
42,"and so it's, it's a lot of different things. But, uh, it is, uh",Uh-huh.,And the other room we use as a guest bedroom because my husband's family come. His parents come and also the kids have friends who come and stay,Uh-huh.,"Well, we still have a, a son and daughter in college that come home.",So I didn't end up with my vacant room like I had thought I would.
43,"Well, that's true.",and so it seems like it's always used as a bedroom.,Uh-huh.,And the other room we use as a guest bedroom because my husband's family come. His parents come and also the kids have friends who come and stay,Uh-huh.,"Well, we still have a, a son and daughter in college that come home."
44,Right.,"Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know.",and so it seems like it's always used as a bedroom.,Uh-huh.,And the other room we use as a guest bedroom because my husband's family come. His parents come and also the kids have friends who come and stay,Uh-huh.
45,"So, it's been a real good couple of years for that.","Right. Oh, I understand","Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know.",and so it seems like it's always used as a bedroom.,Uh-huh.,And the other room we use as a guest bedroom because my husband's family come. His parents come and also the kids have friends who come and stay
46,"Oh, yeah.","And we've got grandchildren now, so when they come, they have to have a place.","Right. Oh, I understand","Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know.",and so it seems like it's always used as a bedroom.,Uh-huh.
47,That's true.,"Well, we, That's true and you don't want them to not be able to come because there's no room.","And we've got grandchildren now, so when they come, they have to have a place.","Right. Oh, I understand","Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know.",and so it seems like it's always used as a bedroom.
48,"Yeah, you, you have to be able, you really have to want to be there to be, uh, able to do something.","That's right, you sure don't. At times I keep thinking, though, that might be kind of nice.","Well, we, That's true and you don't want them to not be able to come because there's no room.","And we've got grandchildren now, so when they come, they have to have a place.","Right. Oh, I understand","Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know."
49,"Oh, that's great.","Well, I I haven't reached that point yet. I've heard people say that. But, uh, my middle son is engaged, my oldest son has been going with the same girl for a while.","That's right, you sure don't. At times I keep thinking, though, that might be kind of nice.","Well, we, That's true and you don't want them to not be able to come because there's no room.","And we've got grandchildren now, so when they come, they have to have a place.","Right. Oh, I understand"
50,"And, uh.",Uh-huh.,"Well, I I haven't reached that point yet. I've heard people say that. But, uh, my middle son is engaged, my oldest son has been going with the same girl for a while.","That's right, you sure don't. At times I keep thinking, though, that might be kind of nice.","Well, we, That's true and you don't want them to not be able to come because there's no room.","And we've got grandchildren now, so when they come, they have to have a place."
51,Yeah.,"He's out of college and has a good job,",Uh-huh.,"Well, I I haven't reached that point yet. I've heard people say that. But, uh, my middle son is engaged, my oldest son has been going with the same girl for a while.","That's right, you sure don't. At times I keep thinking, though, that might be kind of nice.","Well, we, That's true and you don't want them to not be able to come because there's no room."
52,"and, uh.",Uh-huh.,"He's out of college and has a good job,",Uh-huh.,"Well, I I haven't reached that point yet. I've heard people say that. But, uh, my middle son is engaged, my oldest son has been going with the same girl for a while.","That's right, you sure don't. At times I keep thinking, though, that might be kind of nice."
53,"Oh, that's wonderful.","so he could afford to get married but, is not engaged yet,",Uh-huh.,"He's out of college and has a good job,",Uh-huh.,"Well, I I haven't reached that point yet. I've heard people say that. But, uh, my middle son is engaged, my oldest son has been going with the same girl for a while."
54,"and, uh, so, uh",Uh-huh.,"so he could afford to get married but, is not engaged yet,",Uh-huh.,"He's out of college and has a good job,",Uh-huh.
55,"Uh, that's good.","and my daughter's been going with the same boy for a while, but she's still in college and we're just as happy for her to finish her education first.",Uh-huh.,"so he could afford to get married but, is not engaged yet,",Uh-huh.,"He's out of college and has a good job,"
56,So.,Uh-huh.,"and my daughter's been going with the same boy for a while, but she's still in college and we're just as happy for her to finish her education first.",Uh-huh.,"so he could afford to get married but, is not engaged yet,",Uh-huh.
57,"Yeah, yeah.",That's what she plans to do.,Uh-huh.,"and my daughter's been going with the same boy for a while, but she's still in college and we're just as happy for her to finish her education first.",Uh-huh.,"so he could afford to get married but, is not engaged yet,"
58,No.,"Well, I don't blame you for that.",That's what she plans to do.,Uh-huh.,"and my daughter's been going with the same boy for a while, but she's still in college and we're just as happy for her to finish her education first.",Uh-huh.
59,"Yeah, I'm sure it will.","So, I hope so.","Well, I don't blame you for that.",That's what she plans to do.,Uh-huh.,"and my daughter's been going with the same boy for a while, but she's still in college and we're just as happy for her to finish her education first."
60,"Oh, well that's good.","Well, I have the three girls and then we ended up with four grandsons.","So, I hope so.","Well, I don't blame you for that.",That's what she plans to do.,Uh-huh.
61,"And, uh, we were real lucky because my husband had, you know, the extended family, you could have a reunion there.","Oh, ho-ho.","Well, I have the three girls and then we ended up with four grandsons.","So, I hope so.","Well, I don't blame you for that.",That's what she plans to do.
62,Yeah.,And little boys are around the house a whole lot more than girls.,"Oh, ho-ho.","Well, I have the three girls and then we ended up with four grandsons.","So, I hope so.","Well, I don't blame you for that."
63,"Yeah, so that's a good thing to do.",A whole new world. Uh-huh.,And little boys are around the house a whole lot more than girls.,"Oh, ho-ho.","Well, I have the three girls and then we ended up with four grandsons.","So, I hope so."
64,Uh-hum.,"And, uh, I enjoy them coming, but for short doses",A whole new world. Uh-huh.,And little boys are around the house a whole lot more than girls.,"Oh, ho-ho.","Well, I have the three girls and then we ended up with four grandsons."
65,"but, uh.",I can understand.,"And, uh, I enjoy them coming, but for short doses",A whole new world. Uh-huh.,And little boys are around the house a whole lot more than girls.,"Oh, ho-ho."
66,Yeah.,"It feels, after they've been here ten minutes, they have already explored the entire house, they know everything.",I can understand.,"And, uh, I enjoy them coming, but for short doses",A whole new world. Uh-huh.,And little boys are around the house a whole lot more than girls.
67,"But, uh.",Uh-huh.,"It feels, after they've been here ten minutes, they have already explored the entire house, they know everything.",I can understand.,"And, uh, I enjoy them coming, but for short doses",A whole new world. Uh-huh.
68,Yeah.,"But, they're fun.",Uh-huh.,"It feels, after they've been here ten minutes, they have already explored the entire house, they know everything.",I can understand.,"And, uh, I enjoy them coming, but for short doses"
69,Yeah.,So you're all back to the safety catches and the whole nine yards or either watching them every minute.,"But, they're fun.",Uh-huh.,"It feels, after they've been here ten minutes, they have already explored the entire house, they know everything.",I can understand.
70,Yeah.,"Well, I just watch them.",So you're all back to the safety catches and the whole nine yards or either watching them every minute.,"But, they're fun.",Uh-huh.,"It feels, after they've been here ten minutes, they have already explored the entire house, they know everything."
71,"I like to, uh, catch the news on the way to work.",Yeah.,"Well, I just watch them.",So you're all back to the safety catches and the whole nine yards or either watching them every minute.,"But, they're fun.",Uh-huh.
72,Uh-huh.,I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.,Yeah.,"Well, I just watch them.",So you're all back to the safety catches and the whole nine yards or either watching them every minute.,"But, they're fun."
73,"Oh, I do too.","Well, that's the same thing that I did. I hope I'll be able to do the same with grandchildren.",I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.,Yeah.,"Well, I just watch them.",So you're all back to the safety catches and the whole nine yards or either watching them every minute.
74,Uh-huh.,"I think that once you do that, your children kind of develop the same attitudes. At least my daughters have. They try to teach theirs not to get into things instead of having to put everything up. So it's worked pretty well. There's, I don't really think anything's been broken. Every now and then we have to kind of go and say, now don't bother this you know.","Well, that's the same thing that I did. I hope I'll be able to do the same with grandchildren.",I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.,Yeah.,"Well, I just watch them."
75,"But, uh,","Um, uh-huh","I think that once you do that, your children kind of develop the same attitudes. At least my daughters have. They try to teach theirs not to get into things instead of having to put everything up. So it's worked pretty well. There's, I don't really think anything's been broken. Every now and then we have to kind of go and say, now don't bother this you know.","Well, that's the same thing that I did. I hope I'll be able to do the same with grandchildren.",I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.,Yeah.
76,Uh-hue.,"But, all in all, they mind pretty well. But, I guess most of the what kind of roof does your house have? Here I'm getting off the subject.","Um, uh-huh","I think that once you do that, your children kind of develop the same attitudes. At least my daughters have. They try to teach theirs not to get into things instead of having to put everything up. So it's worked pretty well. There's, I don't really think anything's been broken. Every now and then we have to kind of go and say, now don't bother this you know.","Well, that's the same thing that I did. I hope I'll be able to do the same with grandchildren.",I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.
