,Speaker,Utterance,Unified
5,B,Yes. Yes.,B|Yes. Yes.
41,B,"We when I was, when I bought my last purebred retriever I mean I looked all over because I wanted one that still looked like a retriever, you know, the short to the ground, stocky, golden, uh, trainable, tractable, quiet animal that could hunt and still be in the house.","B|We when I was, when I bought my last purebred retriever I mean I looked all over because I wanted one that still looked like a retriever, you know, the short to the ground, stocky, golden, uh, trainable, tractable, quiet animal that could hunt and still be in the house."
42,M,,M|
43,B,"And I ended up getting one that, uh, came out of a, a, a hunting stock because I wanted one that could still perform like a retriever did.","B|And I ended up getting one that, uh, came out of a, a, a hunting stock because I wanted one that could still perform like a retriever did."
44,M,What?,M|What?
45,B,"And I've seen an awful lot of lately really dumb, dumb retrievers and I'm, and I really fear for the breed because I love that breed,","B|And I've seen an awful lot of lately really dumb, dumb retrievers and I'm, and I really fear for the breed because I love that breed,"
46,M,I'm so much,M|I'm so much
47,B,but I really figure right when it becomes really popular that it's going to be ruined.,B|but I really figure right when it becomes really popular that it's going to be ruined.
48,M,You can get a pretty good dog that can handle a high level of water.,M|You can get a pretty good dog that can handle a high level of water.
49,B,"Oh, yeah. You bet you. You bet you. You know how they came up with the retriever, don't you, the Golden?","B|Oh, yeah. You bet you. You bet you. You know how they came up with the retriever, don't you, the Golden?"
50,M,Golden Ret,M|Golden Ret
51,B,"It was bred out of several different retrievers, and they bred it for companionship and, uh, uh, disposition and, and ability to hunt. It was kept only by kings.","B|It was bred out of several different retrievers, and they bred it for companionship and, uh, uh, disposition and, and ability to hunt. It was kept only by kings."
52,M,the.the.dogs.are.good.,M|the.the.dogs.are.good.
53,B,"But they selectively culled those litters, I mean, for many hundreds of years and since it slept in the castle with its master, I mean it had, it had to be of a disposition to make it, you know, an animal you could keep around that closely. But they would go through all the litters and destroy the puppies if they were anything other than perfect. Now, you know, that seems like a cruel thing to do.","B|But they selectively culled those litters, I mean, for many hundreds of years and since it slept in the castle with its master, I mean it had, it had to be of a disposition to make it, you know, an animal you could keep around that closely. But they would go through all the litters and destroy the puppies if they were anything other than perfect. Now, you know, that seems like a cruel thing to do."
54,M,,M|
55,B,"On the other hand, you sure, you know, they sure created a, a wonderful breed, I mean a wonderful breed.","B|On the other hand, you sure, you know, they sure created a, a wonderful breed, I mean a wonderful breed."
56,M,Lol,M|Lol
57,B,Uh-huh.,B|Uh-huh.
58,M,I,M|I
59,B,"Well, I tell you, you know the, the German shepherd is the classic case of what I'm talking about because in America that's called a Rin Tin Tin phenomena.","B|Well, I tell you, you know the, the German shepherd is the classic case of what I'm talking about because in America that's called a Rin Tin Tin phenomena."
60,M,You.,M|You.
61,B,Only in America is there a dog called a German Shepherd.,B|Only in America is there a dog called a German Shepherd.
62,M,I was just making a joke about the dog being a German Shepard.,M|I was just making a joke about the dog being a German Shepard.
63,B,"That dog is bred out of three European dogs. The Belgian Tervurien, a German Skutzhund, and a makes a I always forget the third one. I can see it. Uh, uh, but the third one is a children's dog.","B|That dog is bred out of three European dogs. The Belgian Tervurien, a German Skutzhund, and a makes a I always forget the third one. I can see it. Uh, uh, but the third one is a children's dog."
64,M,Why does this dog look like a German shepherd?,M|Why does this dog look like a German shepherd?
65,B,"And there are distinct breeds in Europe. Now what happened over here was is that people saw the, the first, um, which would actually have been a Skutzhund which is what Rin Tin Tin was.","B|And there are distinct breeds in Europe. Now what happened over here was is that people saw the, the first, um, which would actually have been a Skutzhund which is what Rin Tin Tin was."
66,M,"Wait, what?","M|Wait, what?"
67,B,And everybody wanted Rin Tin Tin. And it was known as a German shepherd here. So they created a breed standard. The American Kennel Club did.,B|And everybody wanted Rin Tin Tin. And it was known as a German shepherd here. So they created a breed standard. The American Kennel Club did.
68,M,So.the.it.all.so.fine.it.,M|So.the.it.all.so.fine.it.
69,B,"That said anything that is a Skutzhund, a, a Tervurien and, uh, Alsatian that's the other one. Alsatian, any inner breeding of that can be called a German shepherd here.","B|That said anything that is a Skutzhund, a, a Tervurien and, uh, Alsatian that's the other one. Alsatian, any inner breeding of that can be called a German shepherd here."
70,M,German shepherd,M|German shepherd
71,B,"And what happened is, is that people wanted this shepherd to shepherd and protect. And they bred a dog that I it's called a, an animal's critical span which basically translates to how much shit will it take before it bites you. That German shepherd, the American German Shepherd here was a, a, a such an unreliable animal that the American Seeing Eye Institute refused to use them, because they would turn on on their handlers.","B|And what happened is, is that people wanted this shepherd to shepherd and protect. And they bred a dog that I it's called a, an animal's critical span which basically translates to how much shit will it take before it bites you. That German shepherd, the American German Shepherd here was a, a, a such an unreliable animal that the American Seeing Eye Institute refused to use them, because they would turn on on their handlers."
72,M,,M|
73,B,"And even, um, uh, police corps which started, you know, finding other breeds to use because this thing, this, this thing known as a German shepherd here, its personality and its dependability and its reliability was just terrible. So about fifteen years ago the German Shepherd Club of America decided amongst themselves that they were going to change this. So they went back to Europe and brought back some good examples of each of the three breeds and bred to a standard what they wanted an American German shepherd to be. Which is a very heavily now Skutzhund and Alsatian,","B|And even, um, uh, police corps which started, you know, finding other breeds to use because this thing, this, this thing known as a German shepherd here, its personality and its dependability and its reliability was just terrible. So about fifteen years ago the German Shepherd Club of America decided amongst themselves that they were going to change this. So they went back to Europe and brought back some good examples of each of the three breeds and bred to a standard what they wanted an American German shepherd to be. Which is a very heavily now Skutzhund and Alsatian,"
74,M,,M|
75,B,"and it's the Alsatian that's the kid's dog. It's just, you see them in Europe and they're just lovely.","B|and it's the Alsatian that's the kid's dog. It's just, you see them in Europe and they're just lovely."
76,M,They.,M|They.
77,B,"But you'll see, I mean, if you ever start looking in papers now and you start seeing these ads for German Shepherds, they will say on them, bred for disposition, A K C conforming which means that their advertising that this is no longer an indiscriminate dog.","B|But you'll see, I mean, if you ever start looking in papers now and you start seeing these ads for German Shepherds, they will say on them, bred for disposition, A K C conforming which means that their advertising that this is no longer an indiscriminate dog."
78,M,I,M|I
79,B,"This is bred for, and they had to go through and destroy a, for a while there, about seventy-five percent of their puppies that they bred.","B|This is bred for, and they had to go through and destroy a, for a while there, about seventy-five percent of their puppies that they bred."
80,M,,M|
81,B,"Because they were looking for this disposition. And nowadays you, you'll get, you'll get a dog trainer to recommend a specific, you know, breeder handler. They will recommend their shepherds as a children's dog.","B|Because they were looking for this disposition. And nowadays you, you'll get, you'll get a dog trainer to recommend a specific, you know, breeder handler. They will recommend their shepherds as a children's dog."
82,M,Why?,M|Why?
83,B,But ...,B|But ...
