,Speaker,Utterance,Unified
5,f,bottom,f|bottom
70,M,right now i want you to go right round the lost steps and down to the fallen pillar,M|right now i want you to go right round the lost steps and down to the fallen pillar
71,f,uh-huh,f|uh-huh
72,M,and then go up the page straight up towards east lake,M|and then go up the page straight up towards east lake
73,f,okay and how far along do i move,f|okay and how far along do i move
74,M,about three inches,M|about three inches
75,f,fine,f|fine
76,M,right,M|right
77,f,uh-huh okay that's fine i'm now halfway along underneath the fallen pillars,f|uh-huh okay that's fine i'm now halfway along underneath the fallen pillars
78,M,right now go down so you're about an inch below the fallen pillar,M|right now go down so you're about an inch below the fallen pillar
79,f,okay,f|okay
80,M,okaye,M|okaye
81,f,yeah,f|yeah
82,M,right now you're heading diagonally down towards the bottom of the page,M|right now you're heading diagonally down towards the bottom of the page
83,f,i do flamingoes,f|i do flamingoes
84,M,right okay go straight down from the bottom of the map,M|right okay go straight down from the bottom of the map
85,f,uh-huh yeah,f|uh-huh yeah
86,M,right go left and then go right across the paper,M|right go left and then go right across the paper
87,f,yeah,f|yeah
88,M,okay,M|okay
89,f,um ruined city is about three quarters up on the page and just slightly to the right of where i am at the moment,f|um ruined city is about three quarters up on the page and just slightly to the right of where i am at the moment
90,M,yeah uh-hope so,M|yeah uh-hope so
91,f,yeah yeah uh-huh,f|yeah yeah uh-huh
92,M,so you go up about two inches and then you go along to your right,M|so you go up about two inches and then you go along to your right
93,f,yeah,f|yeah
94,M,and then go right up,M|and then go right up
95,f,yeah okay so i'm i'm moving right basically,f|yeah okay so i'm i'm moving right basically
96,M,and then you're going left,M|and then you're going left
97,f,right now do i move up so that i'm level with the ruined city,f|right now do i move up so that i'm level with the ruined city
98,M,yeah you're level with it,M|yeah you're level with it
99,f,uh um okay right now i'm i'm on the left-hand side of the ruined city and about three quarters of the way up the page,f|uh um okay right now i'm i'm on the left-hand side of the ruined city and about three quarters of the way up the page
100,M,yeah well go along five centimetres,M|yeah well go along five centimetres
101,f,eh no i have a rock fall which is about halfway along the page and about three quarters of the way up,f|eh no i have a rock fall which is about halfway along the page and about three quarters of the way up
102,M,do you have a stone creek,M|do you have a stone creek
103,f,uh-huh okay so just continue to move straight up,f|uh-huh okay so just continue to move straight up
104,M,straight up yeah,M|straight up yeah
105,f,until almost at the top,f|until almost at the top
106,M,okay,M|okay
107,f,fine,f|fine
108,M,then you're going to go straight up to the seagulls in the ravine,M|then you're going to go straight up to the seagulls in the ravine
109,f,mm,f|mm
110,M,to the end of the footbridge,M|to the end of the footbridge
111,f,okay,f|okay
112,M,then stop,M|then stop
113,f,uh-huh,f|uh-huh
114,M,well go right along to the top of the white mountain and then up,M|well go right along to the top of the white mountain and then up
115,f,so go over the mountain,f|so go over the mountain
116,M,right,M|right
117,f,okay ehm i'm at about three quarters of the way along and at almost at the top of the page,f|okay ehm i'm at about three quarters of the way along and at almost at the top of the page
118,M,yeah you're at the right-hand side at the moment,M|yeah you're at the right-hand side at the moment
119,f,no i've got lost steps actually,f|no i've got lost steps actually
120,M,right go to where the lost steps are,M|right go to where the lost steps are
121,f,yeah yeah,f|yeah yeah
122,M,well just go up about three inches and stop,M|well just go up about three inches and stop
123,f,yeah,f|yeah
124,M,right well you're going to go down about an inch below that and that's your finish,M|right well you're going to go down about an inch below that and that's your finish
125,f,mountain and move yeah,f|mountain and move yeah
126,M,right okay,M|right okay
127,f,okay,f|okay
128,M,right,M|right
129,f,and straight down and,f|and straight down and
130,M,straight down to the,M|straight down to the
131,f,yeah,f|yeah
132,M,okay go up the left-hand side of them,M|okay go up the left-hand side of them
133,f,so do i move to the left-hand or the right-hand side of the gazelles,f|so do i move to the left-hand or the right-hand side of the gazelles
134,M,the left-left-hand,M|the left-left-hand
135,f,fine,f|fine
136,M,okay,M|okay
137,f,oh i see right that's a bit further along fine,f|oh i see right that's a bit further along fine
138,M,right,M|right
139,f,so i've stopped so ehm i am three quarters of the way along slightly more than halfway up and to the right of the gazelles,f|so i've stopped so ehm i am three quarters of the way along slightly more than halfway up and to the right of the gazelles
140,M,yeah,M|yeah
141,f,yeah,f|yeah
142,M,right i've done that,M|right i've done that
143,f,fine okay,f|fine okay
