,Speaker,Utterance,Unified
114,M,"!!!'!!""!!2016!! 2016!!8!!84!!88!!4!!886!!89!!286!!487!!488!!889!!911!!!?!!!!!!!!!!!!!!!!!!!!,!!!!!!!.!!.!! Remind me!!mm!!u!!i!!'t!!right!!you!!yeah!!okay!!r!!oh!!there!!god!!and!!until you!!!'!!===!!","M|!!!'!!""!!2016!! 2016!!8!!84!!88!!4!!886!!89!!286!!487!!488!!889!!911!!!?!!!!!!!!!!!!!!!!!!!!,!!!!!!!.!!.!! Remind me!!mm!!u!!i!!'t!!right!!you!!yeah!!okay!!r!!oh!!there!!god!!and!!until you!!!'!!===!!"
115,f,right so it's a diagonal across the page towards that,f|right so it's a diagonal across the page towards that
116,M,yeah that's right yeah,M|yeah that's right yeah
117,f,that sounds a bit drastic right,f|that sounds a bit drastic right
118,M,right i'm going to go down and then round the top of the manned fort then,M|right i'm going to go down and then round the top of the manned fort then
119,f,yeah have you got a gold mine there as well just,f|yeah have you got a gold mine there as well just
120,M,i have a gold like a mine between my outlaws hideout and the noose so,M|i have a gold like a mine between my outlaws hideout and the noose so
121,f,just to below and to the right of the outlaws' hideout i've got a gold mine,f|just to below and to the right of the outlaws' hideout i've got a gold mine
122,M,"!!!'!!!'!!""!!","M|!!!'!!!'!!""!!"
123,f,i'm going to be quite wealthy i've got all the mines,f|i'm going to be quite wealthy i've got all the mines
124,M,right so you're going to go up and then you're sloping to the left,M|right so you're going to go up and then you're sloping to the left
125,f,erm no,f|erm no
126,M,"!!!'!!!'!!""!!2!!8!!4!!7!!6!!8000!!88!!886!!888!!889!!!.!!!!!!!!!!!!!!!!!!!!!!!!!,!!!--!!'t!!u!!.!!","M|!!!'!!!'!!""!!2!!8!!4!!7!!6!!8000!!88!!886!!888!!889!!!.!!!!!!!!!!!!!!!!!!!!!!!!!,!!!--!!'t!!u!!.!!"
127,f,er i've got a saloon bar right down on the left-hand side,f|er i've got a saloon bar right down on the left-hand side
128,M,right,M|right
129,f,short cut yeah,f|short cut yeah
130,M,right,M|right
131,f,mmhmm i'm well i've got it at the moment i'm slightly below it but,f|mmhmm i'm well i've got it at the moment i'm slightly below it but
132,M,right and then you go along the top of the page to the right and then,M|right and then you go along the top of the page to the right and then
133,f,yeah,f|yeah
134,M,you want to go you want to keep the gold mine on your left-hand side,M|you want to go you want to keep the gold mine on your left-hand side
135,f,"not directly below it just just below the ""u"" if you take it down from the hideout er that that's just that's just at the left-hand side","f|not directly below it just just below the ""u"" if you take it down from the hideout er that that's just that's just at the left-hand side"
136,M,yeah just below it right,M|yeah just below it right
137,f,but are your stone slabs not kind of at the other side of that,f|but are your stone slabs not kind of at the other side of that
138,M,i've got rapids,M|i've got rapids
139,f,'cause my stone slabs are like maybe what two and a half inches below and to the left,f|'cause my stone slabs are like maybe what two and a half inches below and to the left
140,M,yeah so if you just take a line right round the bottom of the abandoned cottage,M|yeah so if you just take a line right round the bottom of the abandoned cottage
141,f,the gold mine is,f|the gold mine is
142,M,right okay,M|right okay
143,f,mm aye directly above the noose that's a better description,f|mm aye directly above the noose that's a better description
144,M,"!!!'!!,!!!'!!226!!""!! Bolshevik!!","M|!!!'!!,!!!'!!226!!""!! Bolshevik!!"
145,f,on its right-hand side,f|on its right-hand side
146,M,uh-huh,M|uh-huh
147,f,so that's like towards the edge of the paper here,f|so that's like towards the edge of the paper here
148,M,mmhmm,M|mmhmm
149,f,right there we go i've come right down below that,f|right there we go i've come right down below that
150,M,right,M|right
151,f,i've got the saloon bar and i've got the stone creek directly across to the left of the noose er but i've got nothing else in that area at all,f|i've got the saloon bar and i've got the stone creek directly across to the left of the noose er but i've got nothing else in that area at all
152,M,so have you got anything to the right of the saloons,M|so have you got anything to the right of the saloons
153,f,you know like below that i should say i mean in the in the middle and to above them and the stone slabs,f|you know like below that i should say i mean in the in the middle and to above them and the stone slabs
154,M,uh yeah,M|uh yeah
155,f,mmhmm,f|mmhmm
156,M,right,M|right
157,f,right so i've to avoid that,f|right so i've to avoid that
158,M,and then i go along to the left,M|and then i go along to the left
159,f,so go above it,f|so go above it
160,M,above it,M|above it
161,f,phoar,f|phoar
162,M,right,M|right
163,f,that's it yeah,f|that's it yeah
164,M,right okay,M|right okay
165,f,what the first bit of that was a total disaster,f|what the first bit of that was a total disaster
166,M,right,M|right
167,f,'cause i came through the rift valley the wrong way i was supposed to come from the top and go down 'til like down through it,f|'cause i came through the rift valley the wrong way i was supposed to come from the top and go down 'til like down through it
168,M,okay,M|okay
169,f,'cause i well i came from underneath don't know what i was doing down there,f|'cause i well i came from underneath don't know what i was doing down there
