,Speaker,Utterance,Unified
84,M,right well if you go down from the footbridge right and go underneath the foot bridge,M|right well if you go down from the footbridge right and go underneath the foot bridge
85,f,i'm up shit creek i haven't got a cavalry,f|i'm up shit creek i haven't got a cavalry
86,M,you haven't,M|you haven't
87,f,right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm,f|right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm
88,M,yes mmhmm,M|yes mmhmm
89,f,right okay,f|right okay
90,M,and then you go up to where you you know the side of the map that's the size of it,M|and then you go up to where you you know the side of the map that's the size of it
91,f,above or below the trout farm,f|above or below the trout farm
92,M,above it,M|above it
93,f,right okay,f|right okay
94,M,now do you have a cattle ranch,M|now do you have a cattle ranch
95,f,uh-huh,f|uh-huh
96,M,and then go down underneath the trout,M|and then go down underneath the trout
97,f,uh-huh,f|uh-huh
98,M,!!!'!!quito!!,M|!!!'!!quito!!
99,f,uh-huh,f|uh-huh
100,M,right,M|right
101,f,right near near the corner,f|right near near the corner
102,M,yeah,M|yeah
103,f,right,f|right
104,M,"right i'm just below the ""b""","M|right i'm just below the ""b"""
105,f,like above or below it,f|like above or below it
106,M,above it,M|above it
107,f,right okay,f|right okay
108,M,right and then up and you're going to go along ehm a couple of centimetres lower than that,M|right and then up and you're going to go along ehm a couple of centimetres lower than that
109,f,along the bottom and left,f|along the bottom and left
110,M,along to the bottom okay,M|along to the bottom okay
111,f,right uh-huh,f|right uh-huh
112,M,and then you've got a fort to the right,M|and then you've got a fort to the right
113,f,i've got a parched river bed,f|i've got a parched river bed
114,M,"right well go along the top and then move up to the middle to make it a ""u"" shape","M|right well go along the top and then move up to the middle to make it a ""u"" shape"
115,f,but it's sort of nearer the cattle stockade but roughly in the middle cattle,f|but it's sort of nearer the cattle stockade but roughly in the middle cattle
116,M,right so i go right underneath it,M|right so i go right underneath it
117,f,aye just a wee bit under,f|aye just a wee bit under
118,M,okay,M|okay
119,f,uh-huh,f|uh-huh
120,M,and then up to the fort,M|and then up to the fort
121,f,uh-huh right done that uh-huh,f|uh-huh right done that uh-huh
122,M,right now you want to go eh straight down from the bandits territory and underneath have you got a great rock,M|right now you want to go eh straight down from the bandits territory and underneath have you got a great rock
123,f,what plant thing,f|what plant thing
124,M,a tree,M|a tree
125,f,oh right oh the cactus,f|oh right oh the cactus
126,M,"!!!'!!!'!!""!!","M|!!!'!!!'!!""!!"
127,f,right uh-huh,f|right uh-huh
128,M,"!!!'!!!'!!""!!","M|!!!'!!!'!!""!!"
129,f,uh-huh,f|uh-huh
130,M,right and then go straight up,M|right and then go straight up
131,f,okey-dokey oh that looks an,f|okey-dokey oh that looks an
