,Speaker,Utterance,Unified
70,M,It's not.,M|It's not.
71,B,"Right. Right. Oh, definitely motherhood is devalued in this society. If you're, stay at home and you're a mother, it's like what a waste. People think, you know, you should be fulfilling yourself","B|Right. Right. Oh, definitely motherhood is devalued in this society. If you're, stay at home and you're a mother, it's like what a waste. People think, you know, you should be fulfilling yourself"
72,M,"I don't, I'm a woman.","M|I don't, I'm a woman."
73,B,"and, and a mother isn't an important important thing as, as having a career","B|and, and a mother isn't an important important thing as, as having a career"
74,M,"Because, you know, you're an important, important person.","M|Because, you know, you're an important, important person."
75,B,"and, and that should be first and, and children second. But they don't have kind of an, what we call an internal perspective of things.","B|and, and that should be first and, and children second. But they don't have kind of an, what we call an internal perspective of things."
76,M,"You mean like, if you have a child, you have an internal, internal perspective?","M|You mean like, if you have a child, you have an internal, internal perspective?"
77,B,"But that,","B|But that,"
78,M,"And, the, and","M|And, the, and"
79,B,No. Right.,B|No. Right.
80,M,No. Right.,M|No. Right.
81,B,"Uh, at this point.","B|Uh, at this point."
82,M,"Well I, uh, I don't know.","M|Well I, uh, I don't know."
83,B,"It's not to say that some day you won't go back to work. My mother's a school teacher and when, when we started, uh, having kids, she had to work for a little while, but then she just started substituting.","B|It's not to say that some day you won't go back to work. My mother's a school teacher and when, when we started, uh, having kids, she had to work for a little while, but then she just started substituting."
84,M,"Yeah, that's what I meant.","M|Yeah, that's what I meant."
85,B,"So she would just substitute once or twice a week, you know, just for that little extra money when we were in school. Then we would just come home and just be, you know, go to a neighbor's house for an hour, then she'd be home. But she wouldn't do that every day.","B|So she would just substitute once or twice a week, you know, just for that little extra money when we were in school. Then we would just come home and just be, you know, go to a neighbor's house for an hour, then she'd be home. But she wouldn't do that every day."
86,M,Every day,M|Every day
87,B,"But now that my, my, uh, youngest sister's at B Y U now, and so they have no one at home, she's back teaching school full time now, again. So if, you know, it's not, it's just a temporary thing.","B|But now that my, my, uh, youngest sister's at B Y U now, and so they have no one at home, she's back teaching school full time now, again. So if, you know, it's not, it's just a temporary thing."
88,M,N.,M|N.
89,B,Uh-huh.,B|Uh-huh.
90,M,What?,M|What?
91,B,Yeah.,B|Yeah.
92,M,"I see, well that's good.","M|I see, well that's good."
93,B,"Yeah, yeah, you, it's, it's hard sometimes at work because, you know, people say, oh, we're taking a cruise, we're going here, we're going there, you know because they have a lot more money.","B|Yeah, yeah, you, it's, it's hard sometimes at work because, you know, people say, oh, we're taking a cruise, we're going here, we're going there, you know because they have a lot more money."
94,M,"Well, you know, I'm not a crazy person.","M|Well, you know, I'm not a crazy person."
95,B,And a lot of them decide just not to have children.,B|And a lot of them decide just not to have children.
96,M,The world is full of people who don't have kids.,M|The world is full of people who don't have kids.
97,B,"It's, it's amazing, they either have one or none.","B|It's, it's amazing, they either have one or none."
98,M,The kids.,M|The kids.
99,B,"And, and the one person I know that has one, they, they feel guilty. She has this continual guilt trip that she's not doing the right thing, and so on, uh, on weekends she would, you know, spend all of her time with her kids and spend lots of, lots and lots of money. Basically, I think they, they really spoil the child, to try to overcompensate for their guilt feelings.","B|And, and the one person I know that has one, they, they feel guilty. She has this continual guilt trip that she's not doing the right thing, and so on, uh, on weekends she would, you know, spend all of her time with her kids and spend lots of, lots and lots of money. Basically, I think they, they really spoil the child, to try to overcompensate for their guilt feelings."
100,M,lol,M|lol
101,B,"And, and, and they don't want to have anymore children because they just don't think, you know, that, she doesn't think she could be a mother at home. That's not her bag. So she just doesn't think that she could, you know, the guilt feelings, she can't deal with with it anymore","B|And, and, and they don't want to have anymore children because they just don't think, you know, that, she doesn't think she could be a mother at home. That's not her bag. So she just doesn't think that she could, you know, the guilt feelings, she can't deal with with it anymore"
102,M,"This, to,","M|This, to,"
103,B,"so,","B|so,"
104,M,"That, you, you?","M|That, you, you?"
105,B,"You know,","B|You know,"
106,M,"I don't, she doesn't want to.","M|I don't, she doesn't want to."
107,B,"Uh-huh. Yeah, my wife, uh, likes staying home.","B|Uh-huh. Yeah, my wife, uh, likes staying home."
108,M,"Well, I mean, you are the one who's the one, right?","M|Well, I mean, you are the one who's the one, right?"
109,B,"Uh, she works at home some, though.","B|Uh, she works at home some, though."
110,M,I work at home.,M|I work at home.
111,B,"The place she works with, worked with before, um, worked out an arrangement with her where she can work at home, part time,","B|The place she works with, worked with before, um, worked out an arrangement with her where she can work at home, part time,"
112,M,"Uhh, she works in a restaurant, part time, part of a family.","M|Uhh, she works in a restaurant, part time, part of a family."
113,B,"and so, uh, that, it's kind of a seasonal thing. Three times a year she's really busy doing certain things based on that kind of business,","B|and so, uh, that, it's kind of a seasonal thing. Three times a year she's really busy doing certain things based on that kind of business,"
114,M,That's good.,M|That's good.
115,B,"but the rest of the time she's free. She likes to sew and do crafts and things like that So she enjoys staying at home, but, uh, the money part of it is not as rewarding, obviously, but there's different rewards, you know, different kinds of rewards.","B|but the rest of the time she's free. She likes to sew and do crafts and things like that So she enjoys staying at home, but, uh, the money part of it is not as rewarding, obviously, but there's different rewards, you know, different kinds of rewards."
116,M,different,M|different
117,B,"Right, right, right. And you really have to make, uh, quite a bit of money. The wife doesn't make it worth it, with the cost of day-care.","B|Right, right, right. And you really have to make, uh, quite a bit of money. The wife doesn't make it worth it, with the cost of day-care."
118,M,I,M|I
119,B,"I know there's, you know, when you adjust your income for what you put out for day-care, you know, you're only making like five.","B|I know there's, you know, when you adjust your income for what you put out for day-care, you know, you're only making like five."
